sub_section	preamble	question	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_file	BIDS_key	BIDS_key_for_unit	BIDS_status	Change_log
Sample size	In this section you will decrobe the experimental design and sample, such as experimental condition and trial number per condition, number of participants, participant exclusion and presenting software.  NOTE: If you notice a bug, or have a suggestion, we'd be grateful if you posted an issue on GitHub: https://github.com/INCF/artem-is/	How many participants took part in the study?		integer		sample_size_total	1	1	1	1	design_and_sample	2		participants.tsv?				25.08.2023 Angela: minor rephrasing
Sample size		How many participants, in total, were included in the analysis, after exclusion of participants?		integer		sample_size_valid	1	2	1	1	design_and_sample	2
Sample size		Specify reasons for excluding participants.		textarea		subject_exclusion_rationale	sample_size_total > sample_size_valid	3	1	1	design_and_sample	2
Variables		Is the design of this study full factorial?		radio	preset:boolean	full_factorial	1	4	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear. Also, this whole sub-section is renamed to "Variables"
Variables		How many between-subject factors does this study/pipeline have?	If you do not have any, please put zero in this field.	integer		number_factors_between	1	5	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear. Also, this whole sub-section is renamed to "Variables"
Variables		List between-subject factors with factor levels in the brackets, separated by semicolon	For example: smoking (yes, no); handedness (left, right)	text		factors_between_list	number_factors_between >0	6	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear. Also, this whole sub-section is renamed to "Variables"
Variables		How many experimental/comparison groups did the study feature in total? 	If participants were not divided into separate groups, please enter 1 to indicate 1 condition. If the design is not full factorial, this number might differ from the total number of between-subject factor level combinations	integer		number_of_groups	1	7	1	1	design_and_sample	2						25.08.2023 Angela: minor rephrasing. Also, this whole sub-section is renamed to "Variables"
Variables		List of all groups used in the study separated by semicolon and a space in the same order in which you want to describe groups in later questions concerning individual groups	Example: smokers left-handed; smokers right-handed; non-smokers left-handed; non-smokers right-handed	text		order_of_group	number_of_groups > 1	8	1	1	design_and_sample	2						25.08.2023 Angela: minor rephrasing. Also, this whole sub-section is renamed to "Variables"
Variables		How many participants did each group have after exclusion?	Input numeric values in the same order in which groups were listed in the previous question. Values should be separated by semicolon and a space.	text		participants_per_group	number_of_groups > 1	9	1	1	design_and_sample	2						25.08.2023 Angela: this whole sub-section is renamed to "Variables"
Variables		How many within-subject factors does this study/pipeline have?	If you do not have any, please put zero in this field.	integer		number_factors_within	1	10	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear. Also, this whole sub-section is renamed to "Variables"
Variables		List within-subject factors with factor levels in the brackets, separated by semicolon	For example: semantic match (match, mismatch); arousal (high, low)	text		factors_within_list	number_factors_within >0	11	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear. Also, this whole sub-section is renamed to "Variables"
Variables		How many within-subject conditions did the study have in total?	If your within-subjects data is not divided into separate conditions, please enter 1 to indicate 1 condition. If the design is not full factorial, this number might differ from the total number of between-subject factor level combinations.	integer		total_nb_of_within_subject_conditions	1	12	1	1	design_and_sample	2						25.08.2023 Angela: minor rephrasing. Also, this whole sub-section is renamed to "Variables"
Variables		List of all within-subject conditions used in the study in the same order in which you want to describe them in later questions concerning individual within-subject conditions.	Values should be separated by a semicolon and a space. For example: low arousal match; low arousal mismatch; high arousal match; high arousal mismatch	text		within_subject_condition_names	total_nb_of_within_subject_conditions > 1	13	1	1	design_and_sample	2						25.08.2023 Angela: minor rephrasing.. Also, this whole sub-section is renamed to "Variables"
