activity_order	activity_pref_label	item_order	question	details	field_type	choices	item	item_pref_label	visibility	item_description	mandatory	include				unit	bids_status	bids_file	bids_key	bids_key_for_unit	percent_reported	no_opinion
1	Introduction	1	The importance of auxiliary assumptions linking constructs and operational definitions	Assuming that fixations imply cognitive processing	radio	reported | not reported	importance_of_auxiliary_assumptions	importance of auxiliary assumptions	1	importance of auxiliary assumptions	1	1	Introduction				0				46	0
2	Tracker	1	The eye-tracker used		select	preset:eyetracker_model_name	name	name	1	name	1	1	Methods	Apparatus	Tracker		0				92	0
2	Tracker	2	The producer of the eye-tracker		select	preset:eyetracker_producer	producer	producer	1	producer	1	1	Methods	Apparatus	Tracker						91	0
2	Tracker	3	The type of eye-tracking device		radio	remote | head mounted	type_remote_device	type remote device	1	type remote device	1	1	Methods	Apparatus	Tracker						65	0
2	Tracker	4	The type of eye-tracking device		radio	corneal reflection | dual purkinje	type_of_device	type of device	long_form == 1	type of device	0	1	Methods	Apparatus	Tracker						7	20
2	Tracker	5	The lens size of the eye-tracker	0.045	float		lens_size	lens size	long_form == 1	lens size	0	1	Methods	Apparatus	Tracker	meter					<1	30
2	Tracker	6	The sampling procedure used		radio	binocular | monocular	sampling_procedure	sampling procedure	long_form == 1	sampling procedure	0	1	Methods	Apparatus	Tracker						47	0
2	Tracker	7	The sampling rate used	60	float		sampling_rate	sampling rate	long_form == 1	sampling rate	0	1	Methods	Apparatus	Tracker	hertz					77	0
2	Tracker	8	The accuracy of the eye-tracker	0.4	float		accuracy	accuracy	long_form == 1	accuracy	0	1	Methods	Apparatus	Tracker	degrees					33	0
2	Tracker	9	The precision of the eye-tracker	0.24	float		precision	precision	long_form == 1	precision	0	1	Methods	Apparatus	Tracker	degrees					4	10
2	Tracker	10	The temporal precision	The standard deviation of eye-tracker latency in s ; 0.05	float		temporal_precision	temporal precision	long_form == 1	temporal precision	0	1	Methods	Apparatus	Tracker	second					1	10
2	Tracker	11	Specification of stimulus-synchronization latencies	Delay between actual onset of a new stimulus and recorded onset of the stimulus; 0.1 	float		stimulus_synchronization_latency	stimulus synchronization latency	long_form == 1	stimulus synchronization latency	0	1	Methods	Apparatus	Tracker						<1	20
2	Tracker	12	Eye-tracker latency	End-to-end delay from the occurrence of an eye movement to the signal from the recording computer that this movement has taken place ; < 0.011 	float		latency	latency	long_form == 1	latency	0	1	Methods	Apparatus	Tracker						<1	10
2	Tracker	13	Tracking range of the head box in which participants can move without losing data	0.5 x 0.4	textarea		headbox	headbox	long_form == 1	headbox	0	1	Methods	Apparatus	Tracker	meter					1	30
2	Tracker	14	If a chinrest was used	Chinrest was used	radio	preset:boolean	chin_rest	chin rest	long_form == 1	chin rest	0	1	Methods	Apparatus	Tracker						44	10
3	Monitor	1	The type of monitor used		radio	CRT | LCD | not applicable (because no monitor was used  in the experiment) 	type	type	long_form == 1	type	0	1	Methods	Apparatus	Monitor						32	0
3	Monitor	2	The resolution of the used monitor	1280 x 1024	textarea		resolution	resolution	1	resolution	1	1	Methods	Apparatus	Monitor	pixel					56	0
3	Monitor	3	The screen size of the used monitor	19	float		screen_size	screen size	1	screen size	1	1	Methods	Apparatus	Monitor	inches					30	0
3	Monitor	4	Screen refresh rate of the used monitor	60	float		screen_refresh_rate_software	screen refresh rate software	long_form == 1	screen refresh rate software	0	1	Methods	Apparatus	Monitor	hertz					12	0
4	Software	1	The software used to pre-process the eye-tracking data		select	preset:eyetracker_preproc_softwares	pre_processing_program	pre processing program	1	pre processing program	1	1	Methods	Apparatus	Software						34	10
4	Software	2	The software used to present the stimuli		select	preset:stimulus_presentation_softwares	stimulus_presentation	stimulus presentation	1	stimulus presentation	1	1	Methods	Apparatus	Software						46	10
5	AOI definition	1	The size of the AOIs	100 x 100 pixel	textarea		size_of_aois	size of aois	1	size of aois	1	1	Methods	Material	AOI definition	pixels | degrees					24	10
5	AOI definition	2	Overlap between the AOIs	No overlap	textarea		overlap_between_the_aois	overlap between the aois	1	overlap between the aois	1	1	Methods	Material	AOI definition						66	10
5	AOI definition	3	The minimal distance between AOIs in pixel		integer		minimal_distance_between_aois	minimal distance between aois	1	minimal distance between aois	1	1	Methods	Material	AOI definition	pixel					6	10
5	AOI definition	4	The relative size of AOIs and Content within AOIs		select	bigger than stimulus | same size as stimulus | smaller than stimulus |  not applicable (because no AOIs/ROIs were generated) 	relative_size_of_aoi_and	relative size of aoi and	1	relative size of aoi and	1	1	Methods	Material	AOI definition						63	10
5	AOI definition	5	Example image presented in the paper	Yes	radio	preset:boolean	example_image_included	example image included	long_form == 1	example image included	0	1	Methods	Material	AOI definition						76	0
5	AOI definition	6	Method for stimulus preparation	For example, computer generated based on saliency scores	textarea		method_for_stimulus_preparation	method for stimulus preparation	1	method for stimulus preparation	1	1	Methods	Material	AOI definition						16	10
5	AOI definition	7	Matching of the luminance between the stimuli	Yes	radio	preset:boolean	luminance_matched_between_stimuli	luminance matched between stimuli	1	luminance matched between stimuli	1	1	Methods	Material	AOI definition						14	20
5	AOI definition	8	The size of the stimulus	 For example, the picture, the font ; Font size 23	textarea		size_of_stimulus	size of stimulus	long_form == 1	size of stimulus	0	1	Methods	Material	AOI definition						33	0
6	Setup	1	Duration of inter stimulus interval	Self-paced by the participant	textarea		length_of_inter_stimulus_interval	length of inter stimulus interval	1	length of inter stimulus interval	1	1	Methods	Procedure	Setup						64	0
6	Setup	2	Presentation duration of the fixation cross	0.5	float		length_of_fixation_cross_presentation	length of fixation cross presentation	1	length of fixation cross presentation	1	1	Methods	Procedure	Setup	second					66	0
6	Setup	3	Position of the fixation cross		select	center | left | random | not applicable (because no fixation cross was presented)	position_of_fixation_cross	position of fixation cross	1	position of fixation cross	1	1	Methods	Procedure	Setup						62	0
6	Setup	4	Duration of stimulus presentation	Self-paced by the participant	textarea		length_of_stimulus_presentation	length of stimulus presentation	1	length of stimulus presentation	1	1	Methods	Procedure	Setup	second					84	10
6	Setup	5	The order of the stimulus presentation		select	balanced | fixed | random | not applicable (because only one stimulus was presented, e.g. 1 one video) 	order_of_stimulus_presentation	order of stimulus presentation	1	order of stimulus presentation	1	1	Methods	Procedure	Setup						71	0
6	Setup	6	Counter-balancing of the stimulus in the presentation across positions	No counter balancing	textarea		counter_balancing_of_positions_in_the_presentation	counter balancing of positions in the presentation	1	counter balancing of positions in the presentation	1	1	Methods	Procedure	Setup						72	10
6	Setup	7	The number of trials in the experiment	One trial	integer		number_of_trials	number of trials	1	number of trials	1	1	Methods	Procedure	Setup						95	0
6	Setup	8	Description of the person running the experiment	Experiment was run by lead author	textarea		experimenter	experimenter	long_form == 1	experimenter	0	1	Methods	Procedure	Setup						<1	10
6	Setup	9	Settings and locations where data were collected	Data were collected in a soundproof room with no direct daylight	textarea		setting_and_location_of_data_collection	setting and location of data collection	1	setting and location of data collection	1	1	Methods	Procedure	Setup						12	0
6	Setup	10	The distance between participants and the screen	0.6	float		distance_between_participant_and_screen	distance between participant and screen	long_form == 1	distance between participant and screen	0	1	Methods	Procedure	Setup	meter					59	0
7	Calibration	1	Number of points that appeared in calibration	9	integer		number_of_calibration_points	number of calibration points	long_form == 1	number of calibration points	0	1	Methods	Procedure	Calibration						43	10
7	Calibration	2	The background color of the calibration		radio	black | blue | grey	background_color_of_the_calibration	background color of the calibration	long_form == 1	background color of the calibration	0	1	Methods	Procedure	Calibration						2	10
7	Calibration	3	Time, when the calibration was conducted.		select	at the beginning | recalibration during the experiment	amount_and_time_of_recalibration	amount and time of recalibration	long_form == 1	amount and time of recalibration	0	1	Methods	Procedure	Calibration						74	0
