activity_pref_label	activity_order	item_order	question	unit	details	field_type	choices	item	item_pref_label	visibility	validation	item_description	include	mandatory	preamble	bids_status	bids_file	bids_key	bids_key_for_unit	UUID
Experimental design	1	1	Type of design			select	blocked | event_related | hybrid block/event	type_of_design	type of design	1		type of design	1	1	Describe your experimental design					a42f81de-b5ff-40e7-bd9a-71b0ae53bc46
Experimental design	1	2	Number of imaging runs acquired			integer	0		number of imaging runs	1		number of imaging runs	1	2						fcaa4b12-7e8a-40d4-a4fe-b604f3987324
Experimental design	1	3	Number of blocks, trials or experimental units per imaging run			integer	0		number of experimental units	1		number of experimental units	1	2						503da10f-fbc2-4023-9802-78c493755efe
Experimental design	1	4	Length of each imaging run	seconds		float	0		length of runs	1		length of runs	1	2						1f31da90-baf2-4acc-b58d-993055bb8a2e
Experimental design	1	5	For blocked designs, length of blocks	seconds		float	0		length of blocks	type_of_design in  [0, 2]		length of blocks	1	2						cbf67dc7-3eb0-49ea-8163-a3464156f341
Experimental design	1	6	Length of individual trials	seconds		float	0		length of trials	1		length of trials	1	2						1f21f697-6535-4f60-b0cb-b92b986c1ecd
Experimental design	1	7	Was the design optimized for efficiency?			radio	preset:boolean		optimization	1		optimization	1	2						8f75dd2c-d1e6-4d62-955d-de5d086a121c
Experimental design	1	8	What method was used for optimization?			textarea			optimization method	optimization == 1		optimization method	1	3						ea5876da-9148-4ee6-9952-c5ed5113e743
Participants	2	1	Number of subjects entering into the analysis			integer	0		number of subjects	1		number of subjects	1	1	Describe your participant sample					739aa1e9-823f-48ca-8a82-cce80c4983ed
Participants	2	2	Mean age of subjects			float	0 | 120	subject_age_mean	subject age mean	1		subject age mean	1	1						68a855a5-1618-4aba-baad-e69f6c4b10fc
Participants	2	3	Minimum age of subjects			float	0 | 120	subject_age_min	subject age min	1	subject_age_min > subject_age_mean, minimum age must be less than mean age	subject age min	1	2						9d2e0a27-6f9e-4948-af0e-e631840a2a69
Participants	2	4	Maximum age of subjects			float	0 | 120	subject_age_max	subject age max	1	subject_age_max < subject_age_mean, maximum age must be more than mean age	subject age max	1	2						ec7a5732-9ea7-4179-a0e4-fef1d97cfb92
Participants	2	5	Handedness of subjects			radio	right | left | both		handedness	1		handedness	1	2						89a1117d-ccf2-4ff2-a09b-a0213ae8316f
Participants	2	6	The proportion of subjects who were male			float	0 | 1		proportion male subjects	1		proportion male subjects	1	2						cb02b1bf-ec5c-479a-a744-ad6a508506ad
Participants	2	7	Additional inclusion/exclusion criteria, if any.		Including specific sampling strategies that limit inclusion to a specific group, such as laboratory members.	textarea			inclusion exclusion criteria	1		inclusion exclusion criteria	1	3						8ba29d06-d34d-455f-b108-a658ab61bc8f
Participants	2	8	Number of subjects scanned but rejected from analysis			integer	0		number of rejected subjects	1		number of rejected subjects	1	2						c7570264-873e-42c2-99e2-190d1db11347
Participants	2	9	Was this study a comparison between subject groups?			radio	preset:boolean		group comparison	1		group comparison	1	1						1fd5da3e-f358-4e3a-91df-ecd9ccd31e5b
Participants	2	10	A description of the groups being compared			textarea			group description	group_comparison == 1		group description	1	2						95f6fbbf-3da3-44e8-aa33-31049cb969e4
MRI acquisition	3	1	Manufacturer of MRI scanner			select	Siemens | Philips | General Electric | other	Manufacturer	scanner make	1		scanner make	1	1	Describe your acquisition parameters					f57e483c-5958-4a05-9603-cf9fe8902f08
MRI acquisition	3	2	Model of MRI scanner			textarea		ManufacturersModelName	scanner model	1		scanner model	1	1						4f41f379-b4a8-4739-9d1c-8b82b7df17f9
MRI acquisition	3	3	Field strength of MRI scanner	Tesla		float	0 | 20	MagneticFieldStrength	field strength	1		field strength	1	1						817efcb7-6949-421f-8d09-dd0c969c36a4
MRI acquisition	3	4	Description of pulse sequence used for fMRI			select	Gradient echo | Spin echo | Mutliband gradient echo | MPRAGE | MP2RAGE | FLASH | other	PulseSequenceType	pulse sequence	1		pulse sequence	1	1						83d046fa-595a-475e-a4be-a93917b6168c
MRI acquisition	3	5	Description of parallel imaging method and parameters			textarea			parallel imaging	1		parallel imaging	1	3						33406595-3b30-4ba2-aa94-e2e82d3c4216
MRI acquisition	3	6	Imaging field of view	Millimeters		float			field of view	1		field of view	1	2						aad01533-38a9-44ec-bd6d-1e79473d694a
MRI acquisition	3	7	Matrix size for MRI acquisition			integer			matrix size	1		matrix size	1	2						0284cd67-9cb3-475c-9d72-2629eba676b3
MRI acquisition	3	8	Distance between slices (includes skip or distance factor).	Millimeters		float	0		slice thickness	1		slice thickness	1	1						b1aff2e8-bb01-4024-88ef-6dc70bef7cd3
MRI acquisition	3	9	The size of the skipped area between slices.	Millimeters		float	0		skip factor	1		skip factor	1	2						0cb8736c-f302-4f91-8891-308a237f17d8
MRI acquisition	3	10	The orientation of slices			radio	axial | sagittal | frontal		acquisition orientation	1		acquisition orientation	1	2						95e871c7-c28d-40f5-8e91-eea4f7816af6
MRI acquisition	3	11	Order of acquisition of slices			select	ascending | descending | interleaved	SliceTiming	order of acquisition	1		order of acquisition	1	3						7ae9833d-4b78-4b57-a794-c5c73e2c2de0
MRI acquisition	3	12	Repetition time (TR)	Milliseconds		float	0	RepetitionTime	repetition time	1		repetition time	1	1						97b97c36-a6bc-46ad-8631-1b83e61d26a9
MRI acquisition	3	13	Echo time (TE)	Milliseconds		float	0	EchoTime	echo time	1		echo time	1	1						2c81999e-30c8-4426-be8f-5f6866294551
MRI acquisition	3	14	Flip angle	Degrees		float	0	FlipAngle	flip angle	1		flip angle	1	2						0b0c6517-bd85-4e9c-897c-9c8d66a5f481
Preprocessing	4	1	If a single software package was used for all analyses, specify that here			select	preset:mri_softwares	SoftwareName	software package	1		software package	1	1	Describe your preprocessing					2515d3c7-7ade-4d4d-9037-de447eda7fd9
Preprocessing	4	2	Version of software package used			textarea		SoftwareVersion	software version	1		software version	1	1						0051c243-4677-4f16-9f23-139405958124
Preprocessing	4	3	Specify order of preprocessing operations			textarea			order of preprocessing operations	1		order of preprocessing operations	1	2						0867f16d-a521-46ac-985b-8b8bed42c058
Preprocessing	4	4	Describe quality control measures			textarea			quality control	1		quality control	1	3						a4630487-b33d-445c-8e3f-5c663b11742d
Preprocessing	4	5	Was B0 distortion correction used?			radio	preset:boolean		used b0 unwarping	1		used b0 unwarping	1	2						ce10a102-eb9f-46f5-916c-e0756f93cad7
Preprocessing	4	6	Specify software used for distortion correction if different from the main package			select	preset:mri_softwares		b0 unwarping software	used_b0_unwarping == 1		b0 unwarping software	1	3						6e7cf254-0b4b-4899-99f4-beaad1b7e629
Preprocessing	4	7	Was slice timing correction used?			radio	preset:boolean		used slice timing correction	1		used slice timing correction	1	1						1ed9cc15-b8f0-448a-8310-072022fe4544
Preprocessing	4	8	Specify software used for slice timing correction if different from the main package			select	preset:mri_softwares		slice timing correction software	used_slice_timing_correction == 1		slice timing correction software	1	3						59cbb50c-0757-4e23-8cc5-6dcfef4f5ae4
Preprocessing	4	9	Was motion correction used?			radio	preset:boolean		used motion correction	1		used motion correction	1	1						fd01d567-5eac-431b-a1e8-d0ce70bac272
Preprocessing	4	10	Specify software used for motion correction if different from the main package			select	preset:mri_softwares		motion correction software	used_motion_correction == 1		motion correction software	1	3						ada473db-4aab-459b-bbb2-345831d74e6d
Preprocessing	4	11	Reference scan used for motion correction			textarea			motion correction reference	used_motion_correction == 1		motion correction reference	1	3						f11ab889-1285-4318-a24b-3a91eadc1a71
Preprocessing	4	12	Similarity metric used for motion correction			select	preset:cost_functions		motion correction metric	used_motion_correction == 1		motion correction metric	1	3						2a4950c3-49ac-48e8-8a97-037c0bd309ed
Preprocessing	4	13	Interpolation method used for motion correction			select	preset:interpolations		motion correction interpolation	used_motion_correction == 1		motion correction interpolation	1	3						13f6ad20-118b-4ec1-b44e-e4e0b9b132aa
Preprocessing	4	14	Was motion-susceptibility correction used?			radio	preset:boolean		used motion susceptibiity correction	1		used motion susceptibiity correction	1	3						0c2991d0-677e-4dad-b704-0578e0e488b3
Intersubject registration	5	1	Were subjects registered to a common stereotactic space?			radio	preset:boolean		used intersubject registration	1		used intersubject registration	1	1	Describe your spatial normalization					df118ea2-3568-455b-a925-3acdbe7fdf4a
Intersubject registration	5	2	Specify software used for intersubject registration if different from main package			select	preset:mri_softwares		intersubject registration software	used_intersubject_registration == 1		intersubject registration software	1	2						580e8fb2-97f8-4d85-9e4e-cc4bc602352c
Intersubject registration	5	3	Was linear or nonlinear registration used?			select	linear | non-linear		intersubject transformation type	used_intersubject_registration == 1		intersubject transformation type	1	1						97c0292e-0e41-4935-8ba6-27d4fcd3523c
Intersubject registration	5	4	If nonlinear registration was used, describe transform method			textarea			nonlinear transform type	used_intersubject_registration == 1 and nonlinear_transform_type == 1		nonlinear transform type	1	2						17ef4920-88b1-4818-91d0-a4987301a960
Intersubject registration	5	5	Similarity metric used for intersubject registration			textarea			transform similarity metric	used_intersubject_registration == 1		transform similarity metric	1	3						816604b4-42da-4593-a8a0-bcbd4cdea051
Intersubject registration	5	6	Interpolation method used for intersubject registration			select	preset:interpolations		interpolation method	used_intersubject_registration == 1		interpolation method	1	2						969bb0a0-3ee4-4d32-9800-5bb2c6546754
Intersubject registration	5	7	What type of image was used to determine the transformation to the atlas?			textarea			object image type	used_intersubject_registration == 1		object image type	1	1						aac4db96-1b13-4285-8f48-5a31b08db1e6
Intersubject registration	5	8	Were the functional images coregistered to the subject's structural image?			radio	preset:boolean		functional coregistered to structural	1		functional coregistered to structural	1	2						8085ea6f-a6b4-42d6-a02c-5767bcbf366b
Intersubject registration	5	9	Method used to coregister functional to structural images			textarea			functional coregistration method	functional_coregistered_to_structural == 1		functional coregistration method	1	3						8df57bce-15e8-4739-897f-233163dc4016
