row_formating	duplicate	section	sub-section	sub-sub-section	activity	activity_pref_label	include	item	item_pref_label	item_description	mandatory	visibility	question	details	field_type	choices	unit	BIDS_status	BIDS_file	BIDS_key	BIDS_key_for_unit
FALSE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	electroded_placement_type	Electroded Placement Type	Electroded Placement Type	1	1	How were your electrodes placed?		radio	cap | net | lose placed (loose placed?)					
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	electroded_placement_type_cap	Electroded Placement Type Cap	Electroded Placement Type Cap	1	electroded_placement_type == cap	What type of cap did you use?		artemisTypeCap						
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	electroded_placement_type_net	Electroded Placement Type Net	Electroded Placement Type Net	1	electroded_placement_type == net	What type of net did you use?		radio	Geodesic Sensor Net					
FALSE	0	Hardware	Preamp peripherals			Preamp peripherals	1	electroded_placement_type_loose_placed	Electroded placement type Loose Placed	Electroded placement type Loose Placed	1	electroded_placement_type == loose placed	Please specify details about electrode placement.		char						
FALSE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	cap_model	Cap model	Cap model	1	1	Please indicate the cap model.		dropdown						
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	net_model	Net model	Net model	1	1	Please indicate the net model.		dropdown						
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	electrode_manufacturer	Electrode manufacturer	Electrode manufacturer	1	1	Manufacturer of electrodes		char						
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	electrode_model	Electrode model	Electrode model	1	1	Model of electrodes		char						
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	electrode_type	Electrode type	Electrode type	1	1	Type of electrodes		radio	Ag/Ag-Cl | tin | active electrodes (with preamplifiers) | other					
TRUE	0	Hardware	Preamp peripherals		hardware_preamp-peripherals	Preamp peripherals	1	conductive_medium	Conductive medium	Conductive medium	1	1	Type of conductive medium used		radio	conductive gel | saline solution					
FALSE	0	Hardware	Signal amplifiers		hardware_signal-amplifiers	Signal amplifiers	1	amplifier_make_or_brand	Amplifier make_or_brand	Amplifier make_or_brand	1	1	Make or brand of the amplifier		artemisAmplifierBrand						
TRUE	0	Hardware	Signal amplifiers		hardware_signal-amplifiers	Signal amplifiers	1	amplifier_model	Amplifier model	Amplifier model	1	1	Model of amplifier		char						
FALSE	0	Hardware	Triggers		hardware_triggers	Triggers	1	trigger_signal_source	Trigger signal source	Trigger signal source	1	1	Source of the triggers		radio	photo diode | auditory trigger/voice key | combination stim tracker | presentation software trigger					
TRUE	0	Hardware	Triggers		hardware_triggers	Triggers	1	trigger_signal_input	Trigger signal input	Trigger signal input	1	1	Describe your trigger signal input.	1. If your system delivers triggers online during the acquisition of EEG to the amp via a parallel port or a DC wire, select option 1.  2. If your system delivers triggers online during the acquisition of EEG to the amp via a USB port or another digital signal format select option 2.  3 & 4 - if the triggers are not delivered to amplifiers, but to the acquisition computer, select the appropriate option 3 or 4 depending on whether the trigger is transfered using an analogue (e.g. parallel port) or digital (e.g. USB) channel  6. If triggers are added after the recording (e.g. after analysis of an audio recording of spoken responses), select option 6.    Please provide specific details in the Further Clarification field.	radio	analogue signal to amplifier | digital signal to amplifier | analogue signal to acquisition software | digital signal to acquisition software | combined stimulus delivery/acquisition software | offline triggers					
FALSE	0	Hardware	Other Peripheral Devices		hardware_other-peripheral-devices	Other Peripheral Devices	1	other_peripheral_devices	Other peripheral devices	Other peripheral devices	1	1	Do you have other devices (eg. signal boxes, converters, other peripheral devices) to report?		boolean						
TRUE	0	Hardware	Other Peripheral Devices		hardware_other-peripheral-devices	Other Peripheral Devices	1	further_clarification_on_peripheral_devices	Further clarification on peripheral devices	Further clarification on peripheral devices	1	other_peripheral_devices == 1	Please specify the details of the additional devices.		char						
