sub_section	preamble	question	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_status	BIDS_key_for_unit		BIDS_key_for_unit		BIDS_file	BIDS_key
Selection of channels for analysis	In this section, you will describe channels selected for statistical analysis and the decision-making process behind it. This is a section about selection of the region that will be subjected to statistical analysis, and not the analysis itself.	Did you make a selection of channels for the purposes of statistical analysis?	For example, if you conducted an analysis such as cluster-based permutation tests on the entire scalp, you should pick "all channels were submitted to analysis", and not describe permutation tests in this section. If you completed cluster-based permutation tests on a subset of electrodes, you should select the other option, and then describe how this subset of electrodes was selected in the follow-up questions.	radio	all channels were submitted to statistical analysis | a subset of channels was submitted to statistical analysis	channels_all_vs_subset	1	1	1	1	Channels	7
Selection of channels for analysis		What was the rationale for selecting this exact subset of electrodes?	When you are making this decision, you may want to check out papers by Kriegskorte et al. (2009, https://doi.org/10.1038/nn.2303) or Gaspelin and Luck (2018, https://doi.org/10.1111/psyp.12639) on biases in time window and channel selection.	radio	a priori | data-driven selection from the entire scalp | data-driven selection of channels from an a priori selected region | selection/identification of channels in two data driven steps (e.g. location of maximal effect within a visually identified broader region) | other	chan_selection	channels_all_vs_subset == 1	2	1	1	Channels	7
Selection of channels for analysis		Select the a priori procedure which was used for channel selection.		radio	The same as in previous literature | based on previous literature, but not exact replication | theory driven novel channel selection | other	chan_selection_a_priori	[0, 2].includes(chan_selection)	3	1	1	Channels	7
Selection of channels for analysis		Literature references, separated by semicolon and space		textarea		chan_literature_reference	[0, 1].includes(chan_selection_a_priori)	4	1	1	Channels	7
Selection of channels for analysis		Provide reasons for deviation or explan how the cited channel choices were combined		textarea		chan_literature_similar	chan_selection_a_priori == 1	5	1	1	Channels	7
Selection of channels for analysis		Theory behind a-priori novel channel selection (including, e.g., thresholds or references if relevant)		textarea		chan_theory	chan_selection_a_priori == 2	6	1	1	Channels	7
Selection of channels for analysis		Describe your a-priori channel selection process other than those listed		textarea		chan_selection_other	chan_selection_a_priori == 3	7	1	1	Channels	7
Selection of channels for analysis		Number of a priori selected channels		integer		chan_a_priori_number	[0, 2].includes(chan_selection)	8	1	1	Channels	7
Selection of channels for analysis		List of a priori selected channels, separated by a semicolon and a space		textarea		chan_a_priori_list	[0, 2].includes(chan_selection)	9	1	1	Channels	7
Selection of channels for analysis		Select the procedure which was used to identify the initial set of channels which was used to make the final selection of channels in the next step.		radio	visual inspection of waveforms (separate or collapsed conditions) | visual inspection of global field potentials | visual inspection of voltage maps (separate or collapsed conditions) | significant effects on multiple neighbouring electrodes | N channels arround the largest effect | other	chan_selection_data_driven_broad	chan_selection == 3	10	1	1	Channels	7
