sub_section	preamble	question	unit	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order
Pre-processing general	In this section, we will ask you about preprocessing decisions, such as analysis software, off-line filtering, re-referencing, artefact removal, epoching and baseline.  NOTE: If you notice a bug, or have a suggestion, we'd be grateful if you posted an issue on GitHub: https://github.com/INCF/artem-is/	Did you use the same software for all pre-processing steps?		Preprocessing steps are fitlering, downsampling, re-referencing, artifact removal, epoching and baseline correction, and other up to the point of data collection	radio	preset:boolean	same_software	1	1	1	1	Preprocessing	5
Pre-processing general		Which software did you use?			select	preset:meeg_analysis_softwares	preprocessing_software	same_software == 1	2	1	1	Preprocessing	5
Pre-processing general		Specify software version if applicable, script language if "custom script" was selected, and software name and version if "other" was selected.			text		preprocessing_software_details	same_software == 1	3	1	1	Preprocessing	5
Pre-processing automated pipelines		Did you use an automated pre-processing pipeline which executes more than artifact removal decisions?		For example, this automated pipeline may also include filtering, baseline correction, or re-referencing.	radio	preset:boolean	preprocessing_pipeline	1	4	1	1	Preprocessing	5
Pre-processing automated pipelines		Which automated pre-processing pipeline did you use?			select	PREP (Bigdely-Shamlo et al., 2015) | HAPPE (Gabard-Durnam et al., 2018) | HAPPE+ER (Monachino et al., 2021) | EPOS (Rodrigues et al., 2021) | other	preprocessing_pipeline_which	preprocessing_pipeline == 1	5	1	1	Preprocessing	5
Pre-processing automated pipelines		Automated pre-processing pipeline you used other than listed			text		preprocessing_pipeline_other	preprocessing_pipeline_which == 4	6	1	1	Preprocessing	5
Pre-processing automated pipelines		Reference for the automated pre-processing pipeline you applied.			text		preprocessing_pipeline_reference	preprocessing_pipeline == 1	7	1	1	Preprocessing	5
Pre-processing automated pipelines		Version of the automated pre-processing pipeline, if applicable			text		preprocessing_pipeline_version	preprocessing_pipeline == 1	8	1	1	Preprocessing	5
Pre-processing automated pipelines		Describe parameters and settings you used to run this automated pipeline, if applicable, and any potential adjustments to the pipeline you may have made manually.			textarea		preprocessing_pipeline_parameters	preprocessing_pipeline == 1	9	1	1	Preprocessing	5
Offline filters		Did you apply any offline (digital) filters?		This does not include filtering within automated pipelines, if you had applied any, or filtering only for visualization, and not analysis purposes.	radio	preset:boolean	offline_filters	1	10	1	1	Preprocessing	5
Offline filters		Which offline filters did you apply?			radio_multiple	high pass | low pass | notch	which_filters	offline_filters == 1	11	1	1	Preprocessing	5
Offline filters		Which software do you use for implementing offline filters on EEG data?			select	preset:meeg_analysis_softwares	filtering_software	!which_filters.includes(3) && same_software == 0	12	1	1	Preprocessing	5
Offline filters		Specify software version if applicable, script language if "custom script" was selected, and software name and version if "other" was selected.			text		filter_software_details	!which_filters.includes(3) &&  same_software == 0	13	1	1	Preprocessing	5
Offline filters		What kind of high-pass filter did you use?			radio	preset:filter	offline_highpass_filter_type	which_filters.includes(0)	14	1	1	Preprocessing	5
Offline filters		What was the length/order of the high-pass filter?			float		offline_highpass_filter_order	which_filters.includes(0)	15	1	1	Preprocessing	5
Offline filters		Type of high-pass filter cut-off			radio	half-power | half-amplitude	offline_highpass_filter_unit	which_filters.includes(0)	16	1	1	Preprocessing	5
Offline filters		Specify the offline high-pass filter cut-off.	Hz		float		offline_highpass_filter_cutoff	which_filters.includes(0)	17	1	1	Preprocessing	5
Offline filters		Specify the offline high-pass filter roll off.	dB/octave		float		offline_highpass_filter_rolloff	which_filters.includes(0)	18	1	1	Preprocessing	5
Offline filters		What is the attenuation achieved in the stopband after high-pass filtering?	dB		float		offline_highpass_filter_attenuation	which_filters.includes(0)	19	1	1	Preprocessing	5
Offline filters		What was the direction of the high-pass filter?			radio	forwards | backwards | forwards and backwards	offline_highpass_filter_direction	which_filters.includes(0)	20	1	1	Preprocessing	5
Offline filters		What kind of low-pass filter did you use?			radio	preset:filter	offline_lowpass_filter_type	which_filters.includes(1)	21	1	1	Preprocessing	5
Offline filters		What was the length/order of the low-pass filter?			float		offline_lowpass_filter_order	which_filters.includes(1)	22	1	1	Preprocessing	5
Offline filters		Type of high-pass filter cut-off			radio	half-power | half-amplitude	offline_lowpass_filter_unit	which_filters.includes(1)	23	1	1	Preprocessing	5
Offline filters		Specify the offline low-pass filter cut-off.	Hz		float		offline_lowpass_filter_cutoff	which_filters.includes(1)	24	1	1	Preprocessing	5
Offline filters		Specify the offline low-pass filter roll off.	dB/octave		float		offline_lowpass_filter_rolloff	which_filters.includes(1)	25	1	1	Preprocessing	5
Offline filters		What is the attenuation achieved in the stopband after low-pass filtering?	dB		float		offline_lowpass_filter_attenuation	which_filters.includes(1)	26	1	1	Preprocessing	5
Offline filters		What was the direction of the low-pass filter?			radio	forwards | backwards | forwards and backwards	offline_lowpass_filter_direction	which_filters.includes(1)	27	1	1	Preprocessing	5
Offline filters		What notch filter have you applied after the recording?			radio	50 Hz | 60 Hz | other	offline_notch_filter_type	which_filters.includes(2)	28	1	1	Preprocessing	5
Offline filters		Describe the stopband frequency of the notch filter you applied			text		offline_notch_filter_type_details	offline_notch_filter_type == 2	29	1	1	Preprocessing	5
Downsampling		Did you downsample your data?			radio	preset:boolean	downsample_data	1	30	1	1	Preprocessing	5
Downsampling		What software did you use for downsampling?			select	preset:meeg_analysis_softwares	downsample_software	downsample_data == 1 && same_software == 0	31	1	1	Preprocessing	5
Downsampling		Specify software version if applicable, script language if "custom script" was selected and software name and version if "other" was selected.			text		downsample_software_details	downsample_data == 1 && same_software == 0	32	1	1	Preprocessing	5
Downsampling		If yes, what was your new sampling frequency?	Hz		float		new_sampling_frequency	downsample_data == 1	33	1	1	Preprocessing	5
