sub_section	preamble	question	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_file	BIDS_key	BIDS_key_for_unit	BIDS_status
Study ID	This section contains information on the study, such as title, links to publications and datasets, etc.	At the time of document creation, what is the current ARTEM-IS template for?		radio	Documenting a planned pipeline | Documenting a pipeline that has been applied to study data 	artemis_type	1	1	1	1	study_id	1
Study title		Current title of the study/pipeline		text		study_title	1	2	1	1	study_id	1		dataset_description.json	Name
Study title		Is the current title the same as it appears in related publications?		radio	no | yes | final decision not made yet	study_title_final	1	3	1	1	study_id	1
Study title		Has the current study or pipeline been known by a different name or a working title previously? 		radio	preset:boolean	study_working_title_exists	1	4	1	1	study_id	1
Study title		Working title		text		study_working_title	study_working_title_exists == 1	5	1	1	study_id	1
Authors		Authors of the study in the following format: family-name, other names. Each author separated by a semicolon and a space.		textarea		study_authors	1	6	1	1	study_id	1		dataset_description.json	Authors
Publications		Has the study resulted in any published articles, conference presentations or research reports at this stage? 		radio	preset:boolean	study_reference_exists	1	7	1	1	study_id	1
Publications		Do any of these publications have a DOI?		radio	preset:boolean	study_reference_DOIs_exists	study_reference_exists == 1	8	1	1	study_id	1
Publications		DOIs of related publications, separated by a semicolon and a space.		textarea		study_reference	study_reference_DOIs_exists == 1	9	1	1	study_id	1		dataset_description.json	ReferencesAndLinks
Publications		Are there any web-accessible publications that do not have a DOI?		radio	preset:boolean	study_reference_noDOI_exists	study_reference_exists == 1	10	1	1	study_id	1
Publications		Provide links to non-DOI publications, separated by a semicolon and a space.		textarea		study_reference_noDOI	study_reference_noDOI_exists == 1	11	1	1	study_id	1		dataset_description.json	ReferencesAndLinks
Datasets		Has this study resulted in any datasets archived in a persistent, version controlled repository, administered independently from the authorship team?	For example, a Github repository	radio	preset:boolean	study_dataset_exists	1	12	1	1	study_id	1
Datasets		What types of data are available?		radio_multiple	raw EEG data | individual epochs | averaged ERPs for individual participants | grand average ERPs for all conditions, amplitude measures | component amplitudes/latencies and other measures for statistical analysis | other	study_dataset_types	study_dataset_exists == 1	13	1	1	study_id	1
Datasets		Types of data not included in list		text		study_dataset_types_other	study_dataset_types.includes(5)	14	1	1	study_id	1
Datasets		Do any of these datasets have a DOI?		radio	preset:boolean	study_dataset_DOI_exists	study_dataset_exists == 1	15	1	1	study_id	1
Datasets		Dataset DOIs separated by a semicolon and a space.		textarea		study_dataset_DOI	study_dataset_DOI_exists == 1	16	1	1	study_id	1		dataset_description.json	DatasetDOI
Datasets		Are there any datasets that do not have a DOI?		radio	preset:boolean	study_datasets_noDOI_exists	study_dataset_exists == 1	17	1	1	study_id	1
Datasets		Provide links to non-DOI datasets, separated by a semicolon and a space.		textarea		study_datasets_noDOI	study_datasets_noDOI_exists == 1	18	1	1	study_id	1
