sub_section	preamble	question	unit	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order
Plot type	Please specify all the procesures for visualisation purposes in this section.	What kind of plot did you create			radio	line plot (waveforms) | topoplot | other	visualisation_type	1	1	1	1	visualisation	8
Procedures applied for visualisation of waveforms only		Extra preprocessing: Did you apply any procedures for visualisation purposes only (not used for analysis)? e.g. smoothing filter, different baseline			radio	preset:boolean	visualisation_only_procedures	1	2	1	1	visualisation	8
Procedures applied for visualisation of waveforms only		Extra preprocessing: Please specify the details of the procedures you had applied for the purposes of waveforms visualisation.			textarea		specify_visualisation	visualisation_only_procedures == 1	3	1	1	visualisation	8
Data underlying the visualization		What does the data represent?			select	single waves | difference waves | both | other	waveform_type	visualisation_type == 0	4	1	1	visualisation	8
Data underlying the visualization		What kind of unit does the plotted data have?			select	voltage maps | voltage maps normalized data |  statistical maps based on t-score/p-value |  current source density maps | topographic maps of PCA factors |  voltage maps on percent scale | 3D voltage maps | other	waveform_unit	visualisation_type == 1	5	1	1	visualisation	8
Data underlying the visualization		How where conditions re-combined to create a single data set used for plotting?			textarea		plotting_conditions	1	6	1	1	visualisation	8
Which channels were selected		Which channels were selected for this visualization?		Provide a comma-separated list of all channels (in alphabetical order).	text		selected_channels_list	1	7	1	1	visualisation	8
Which channels were selected		What was the rationale for selecting these channels?			textarea		selected_channels_rationale	1	8	1	1	visualisation	8
Which channels were selected		Were the selected channels averaged?			radio	preset:boolean	selected_channels_average	1	9	1	1	visualisation	8
Which time window was selected		What is the beginning of the time window selected for this visualization (relative to trigger)?	ms		float		selected_time_begin	1	10	1	1	visualisation	8
Which time window was selected		What is the end of the time window selected for this visualization (relative to trigger)?	ms		float		selected_time_end	1	11	1	1	visualisation	8
Which time window was selected		What was the rationale for selecting this time window?			textsarea		selected_time_rationale	1	12	1	1	visualisation	8
Which time window was selected		Was the selected time window averaged?			radio	preset:boolean	selected_time_average	1	13	1	1	visualisation	8
Rationale for selection of channel locations used for waveform presentation		Rationale for selection of channel locations used for waveform presentation in the figure			textarea		waveform_rationale	1	14	1	1	visualisation	8
Additional comments		Do you have any additional information or comments to add?			radio	preset:boolean	additional_comment	1	1	1	1	other	9
Additional comments		You can add additional comments here.			textarea		comment_contents	additional_comment == 1	2	1	1	other	9
