0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
row_formating,duplicate,,,,activity_order,include,activity,activity_pref_label,activity_description,activity_preamble,item,item_pref_label,item_description,mandatory,visibility,question,details,field_type,choices,unit,BIDS_status,BIDS_file,BIDS_key,BIDS_key_for_unit,
FALSE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electroded_placement_type,Electroded Placement Type,Electroded Placement Type,1,1,How were your electrodes placed?,,radio,cap | net | lose placed (loose placed?),,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electroded_placement_type_cap,Electroded Placement Type Cap,Electroded Placement Type Cap,1,electroded_placement_type == cap,What type of cap did you use?,,artemisTypeCap,,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electroded_placement_type_net,Electroded Placement Type Net,Electroded Placement Type Net,1,electroded_placement_type == net,What type of net did you use?,,radio,Geodesic Sensor Net,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electroded_placement_type_loose_placed,Electroded placement type Loose Placed,Electroded placement type Loose Placed,1,electroded_placement_type == loose placed,Please specify details about electrode placement.,,char,,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,cap_model,Cap model,Cap model,1,1,Please indicate the cap model.,,dropdown,,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,net_model,Net model,Net model,1,1,Please indicate the net model.,,dropdown,,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electrode_manufacturer,Electrode manufacturer,Electrode manufacturer,1,1,Manufacturer of electrodes,,char,,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electrode_model,Electrode model,Electrode model,1,1,Model of electrodes,,char,,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,electrode_type,Electrode type,Electrode type,1,1,Type of electrodes,,radio,Ag/Ag-Cl | tin | active electrodes (with preamplifiers) | other,,,,,,
TRUE,0,Hardware,Preamp peripherals,,1,1,hardware_preamp-peripherals,Preamp peripherals,,,conductive_medium,Conductive medium,Conductive medium,1,1,Type of conductive medium used,,radio,conductive gel | saline solution,,,,,,
FALSE,0,Hardware,Signal amplifiers,,1,1,hardware_signal-amplifiers,Signal amplifiers,,,amplifier_make_or_brand,Amplifier make_or_brand,Amplifier make or brand,1,1,Make or brand of the amplifier,,artemisAmplifierBrand,,,,,,,
TRUE,0,Hardware,Signal amplifiers,,1,1,hardware_signal-amplifiers,Signal amplifiers,,,amplifier_model,Amplifier model,Amplifier model,1,1,Model of amplifier,,char,,,,,,,
FALSE,0,Hardware,Triggers,,1,1,hardware_triggers,Triggers,,,trigger_signal_source,Trigger signal source,Trigger signal source,1,1,Source of the triggers,,radio,photo diode | auditory trigger/voice key | combination stim tracker | presentation software trigger,,,,,,
TRUE,0,Hardware,Triggers,,1,1,hardware_triggers,Triggers,,,trigger_signal_input,Trigger signal input,Trigger signal input,1,1,Describe your trigger signal input.,"1. If your system delivers triggers online during the acquisition of EEG to the amp via a parallel port or a DC wire, select option 1.
 2. If your system delivers triggers online during the acquisition of EEG to the amp via a USB port or another digital signal format select option 2.
 3 & 4 - if the triggers are not delivered to amplifiers, but to the acquisition computer, select the appropriate option 3 or 4 depending on whether the trigger is transfered using an analogue (e.g. parallel port) or digital (e.g. USB) channel
 6. If triggers are added after the recording (e.g. after analysis of an audio recording of spoken responses), select option 6.
 
 Please provide specific details in the Further Clarification field.",radio,analogue signal to amplifier | digital signal to amplifier | analogue signal to acquisition software | digital signal to acquisition software | combined stimulus delivery/acquisition software | offline triggers,,,,,,
FALSE,0,Hardware,Other Peripheral Devices,,1,1,hardware_other-peripheral-devices,Other Peripheral Devices,,,other_peripheral_devices,Other peripheral devices,Other peripheral devices,1,1,"Do you have other devices (eg. signal boxes, converters, other peripheral devices) to report?",,boolean,,,,,,,
TRUE,0,Hardware,Other Peripheral Devices,,1,1,hardware_other-peripheral-devices,Other Peripheral Devices,,,further_clarification_on_peripheral_devices,Further clarification on peripheral devices,Further clarification on peripheral devices,1,other_peripheral_devices == 1,Please specify the details of the additional devices.,,char,,,,,,,
FALSE,0,Acquisition,software,,1,1,acquisition_software,software,,,acquisition_software,acquisition software,acquisition software,1,1,What software did you use for the aquisition?,,artemisAcquisitionSoftware,,,,,,,
FALSE,0,Acquisition,impedance threshold,,1,1,acquisition_impedance-threshold,impedance threshold,,,impedance_threshold,impedance threshold,highest impedance threshold,1,1,What was the impedence upper threshold?,,int,,,,,,,
FALSE,0,Acquisition,recording reference,,1,1,acquisition_recording-reference,recording reference,,,online_reference,online reference,clarification of reference used for recording online,1,1,Did you use an online reference?,,boolean,,,,,,,
TRUE,0,Acquisition,recording reference,,1,1,acquisition_recording-reference,recording reference,,,offline_reference,offline reference,clarification of reference used for recording offline,1,1,Did you reference offline?,,boolean,,,,,,,
TRUE,0,Acquisition,recording reference,,1,1,acquisition_recording-reference,recording reference,,,type_online_reference,type online reference,type online reference,1,online_reference == 1,What type of online reference did you use?,,artemisReferenceElectrode,,,,,,,
TRUE,0,Acquisition,recording reference,,1,1,acquisition_recording-reference,recording reference,,,other_type_online_reference,other type online reference,other types of online reference used,1,type_online_reference == other,Specify the online reference used,,char,,,,,,,
TRUE,0,Acquisition,recording reference,,1,1,acquisition_recording-reference,recording reference,,,type_offline_reference,type offline reference,type offline reference,1,offline_reference == 1,What type of offline reference did you use?,,artemisReferenceElectrode,,,,,,,
TRUE,0,Acquisition,recording reference,,1,1,acquisition_recording-reference,recording reference,,,other_type_offline_reference,other type offline reference,other types of offline reference used,1,type_offline_reference == other,Specify the offline reference used,,char,,,,,,,
FALSE,0,Acquisition,recording ground,,1,1,acquisition_recording-ground,recording ground,,,ground,ground,clarification of ground usage during recording,1,1,Did you used a ground for the recording?,,boolean,,,,,,,
TRUE,0,Acquisition,recording ground,,1,1,acquisition_recording-ground,recording ground,,,type_ground,type ground,type of ground used during recording,1,ground == 1,What type of ground did you use during the recording?,,char,,,,,,,
FALSE,0,Acquisition,"electrode location naming convention
",,1,1,"acquisition_electrode-location-naming-convention
","electrode location naming convention
",,,electrode_location_naming_convention,electrode location naming convention,type of naming convention used for electrode locations,1,1,What type of naming convention have you used for the electrode locations?,,radio,five percent electrode system (extension of the International 10-20 system by Oostenveld & Praamstra (2001)) | commercial geodesic net | custom locations and other systems,,,,,,
TRUE,0,Acquisition,"electrode location naming convention
",,1,1,"acquisition_electrode-location-naming-convention
","electrode location naming convention
",,,custom_electrode_location_naming_convention,custom electrode location naming convention,clarification of custom type of naming convention used for electrode locations,1,electrode_location_convention == custom locations and other systems,Specify the electrode location naming convention used,,char,,,,,,,
FALSE,0,Acquisition,number active channels,,1,1,acquisition_number-active-channels,number active channels,,,number_active_channels,number active channels,number of channels used (active) during M/EEG recording,1,1,"How many channels were active for the recording (excluding reference and ground channels, and VEOG and HEOG)?",,int,,,,,,,
FALSE,0,Acquisition,EOG channels,,1,1,acquisition_eog-channels,EOG channels,,,eog_channels,EOG channels,"EOG channels used to record eye movements (typically, VEOG HEOG channels)",1,1,How many EOG channels did you use to record eye movement-dependent voltage?,,radio,two HEOG channels only | two VEOG channels only | two HEOG and two VEOG channels | no EOG channels | other,,,,,,
TRUE,0,Acquisition,EOG channels,,1,1,acquisition_eog-channels,EOG channels,,,other_eog_channels,other eog channels,Specify EOG channels used to record eye movements,1,eog_channels == other ,Specify the EOG channels you used for the recording,,char,,,,,,,
FALSE,0,Acquisition,Locations active channels,,1,1,acquisition_locations-active-channels,Locations active channels,,,locations_active_channels,locations active channels,"report locations of the channels used during the recording (active channels). Not mandatory since it is not always necessary to report this information (understandale with item ""electrode_location_naming_convention""), unless you analyse ROIs (regions of interest)",,,Please upload here your channel locations file to report the exact position,NEED A WAY TO UPLOAD CHANNEL LOCATIONS / HEAD MAP,filetype.txt / .xyz / .tsv / .dat / .asc,,,,,,,
FALSE,0,Acquisition,filters,,1,1,acquisition_filters,filters,,,type_filters,type filters,type of filters used during recording,1,1,What filters have you used for you data?,,radio,online filters | offline filters | none | both online and offline filters,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,online filters,,,online_filters,online filters,filters used during the recording (simultaneously),,,Which of the following filters have you used? (You can choose as many as used),"depending on choice, following questions will appear to inform about the filters used",multiple choice,high pass | low pass | pass band | stop band | notch,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,offline filters,,,offline_filters,offline filters,filters used after recording/session,,,Which of the following filters have you used? (You can choose as many as used),"depending on choice, following questions will appear to inform about the filters used",multiple choice,high pass | low pass | pass band | stop band | notch,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,online filters,,,high_online_filters,high online filters,high pass filters applied during recording or session,,,"What high pass filter (Hz, dB, octave...) have you applied during the recording?",,char,,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,online filters,,,low_online_filters,low online filters,low pass filters applied during recording or session,,,"What low pass filter (Hz, dB, octave...) have you applied during the recording?",,char,,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,online filters,,,notch_online_filters,notch online filters,notch filter (AC offset or electricity-related interference) applied during recording or session,,,What notch filter (eg. 50Hz) have you applied during the recording?,,char,,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,offline filters,,,high_offline_filters,high offline filters,high pass filters applied after recording or session,,,"What high pass filter (Hz, dB, octave...) have you applied after the recording?",,char,,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,offline filters,,,low_offline_filters,low offline filters,low pass filters applied after recording or session,,,"What low pass filter (Hz, dB, octave...) have you applied after the recording?",,char,,,,,,,
TRUE,0,Acquisition,filters,,1,1,acquisition_filters,offline filters,,,notch_offline_filters,notch offline filters,notch filter (AC offset or electricity-related interference) applied after recording or session,,,What notch filter (eg. 50Hz) have you applied after the recording?,,char,,,,,,,
