row fomarting,row fomarting,activity_order,include,activity,activity_pref_label,activity_description,activity_preamble,,,,,item,item_pref_label,item_description,item_order,duplicate,question,details,field_type,choices,visibility,"Common to MR spreadsheet 

yellow=Y=already included for MR & can be ignored in this document

green=P=areas of potential overlap",BIDS_status,BIDS_file,BIDS_key
FALSE,FALSE,1,1,experimental_design,Experimental Design,Experimental Design,,Terminology and experimental break down,Number of sessions,,,number_of_sessions,number of sessions,number of sessions,,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Terminology and experimental break down,Number of runs per session,,,number_of_runs_per_session,number of runs per session,number of runs per session,,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Terminology and experimental break down,Number of trials per run,,,number_of_trials_per_run,number of trials per run,number of trials per run,,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Terminology and experimental break down,Conditions,,,conditions,conditions,conditions,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Terminology and experimental break down,Detail how data were epoched,,,detail_how_data_were_epoched,detail how data were epoched,detail how data were epoched,,0,,,,,,P,,,
TRUE,FALSE,1,1,experimental_design,Experimental Design,Experimental Design,,Statistical power,Detail any analysis performed to justify the number of trials/participants,,,detail_any_analysis_performed_to_justify_the_number_of_trials/participants,detail any analysis performed to justify the number of trials/participants,detail any analysis performed to justify the number of trials/participants,,0,,,,,,,,,
TRUE,FALSE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Recruitment and selection strategy,,,recruitment_and_selection_strategy,recruitment and selection strategy,recruitment and selection strategy,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Inclusion criteria,,,inclusion_criteria,inclusion criteria,inclusion criteria,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Exclusion criteria,,,exclusion_criteria,exclusion criteria,exclusion criteria,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Demographics,Gender,,gender,gender,gender,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Demographics,Age,,age,age,age,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Demographics,Handedness,,handedness,handedness,handedness,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Demographics,Education,,education,education,education,,1,,Total years of education,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Demographics,Education,,education,education,education,,1,,Highest qualification,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Demographics,Other relevant,,other_relevant,other relevant,other relevant,,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Medication,,,medication,medication,medication,,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,"Report ancillary investigations (e.g., questionnaires,psychological assessments etc.), if any.",,,"report_ancillary_investigations_(e.g.,_questionnaires,psychological_assessments_etc.),_if_any.","report ancillary investigations (e.g., questionnaires,psychological assessments etc.), if any.","report ancillary investigations (e.g., questionnaires,psychological assessments etc.), if any.",,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Compensation,,,compensation,compensation,compensation,,0,,,,,,P,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Participants,Information about written informed consent (or informed assent for pediatric participants) and the name of Institutional Review Board,,,information_about_written_informed_consent_(or_informed_assent_for_pediatric_participants)_and_the_name_of_institutional_review_board,information about written informed consent (or informed assent for pediatric participants) and the name of institutional review board,information about written informed consent (or informed assent for pediatric participants) and the name of institutional review board,,0,,,,,,Y,,,
TRUE,FALSE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Characteristics of the overall testing environment,,,characteristics_of_the_overall_testing_environment,characteristics of the overall testing environment,characteristics of the overall testing environment,,0,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Number of experimenters,,,number_of_experimenters,number of experimenters,number of experimenters,,0,,,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Instructions,,,instructions,instructions,instructions,,1,,Description,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Instructions,,,instructions,instructions,instructions,,1,,Task related?,,,,Y,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,,,stimulus_properties,stimulus properties,stimulus properties,,1,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,,,stimulus_properties,stimulus properties,stimulus properties,,1,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Resting state,,resting_state,resting state,resting state,,1,,Indicate if subjects eyes were opened or closed,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Resting state,,resting_state,resting state,resting state,,1,,"If eyes open, indicate if there was a fixation cross or not",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,,task_with_stimuli,task with stimuli,task with stimuli,,1,,"Describe how stimuli was produced. For example, stimuli from existing stimulus sets or databases are used, the name of the database (or subset of stimuli used) should be provided. If stimuli are created or manipulated, specific software or algorithms need to be identified.",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,,task_with_stimuli,task with stimuli,task with stimuli,,1,,Describe calibration procedure,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,Stimuli size in degrees of visual angle,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,Viewing distance,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,"Clarity (i.e.,visual contrast, intensity, etc.)",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,Color,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,"Site of the stimulation ((i.e., monocular vsbinocular, position in the visual field, etc.)",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,Display device and method of projection (including refresh rate or response time of the monitors),,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,visual_stimuli,visual stimuli,visual stimuli,,6,,Note if differences in intensity or contrast between different stimulus conditions,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,auditory_stimuli,auditory stimuli,auditory stimuli,,3,,"Stimulus properties (e.g., frequency content, duration, onset/offset envelope, etc.)",,,,,,,
