0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
row_formating,row_formating,activity_order,include,neurovault_or_carp,mandatory,activity,activity_pref_label,activity_description,activity_preamble,,,,,,item,item_pref_label,item_description,item_order,mri_type,analysis_type,duplicate,question,details,field_type,choices,visibility,spm_default,fsl_default,bids_status,bids_file,bids_key,bids_key_for_unit,nidm_results,neurovault,included_in_NARPS,in_Carp_2012,percent_of_studies,percent_of_studies_anat,use_case_meta-analysis,meta-analysis_comment
FALSE,FALSE,1,1,0,1,experimental_design,Experimental Design,Experimental Design,,Design specifications,Design type,rest or task,,,rest_or_task,rest or task,rest or task,,,,0,Was it task based MRI or resting state MRI?,,boolean,,1,"NA
","NA
",1,,,,,,,,,,yes,NECESSARY FOR STUDY SELECTION
TRUE,TRUE,1,1,0,1,experimental_design,Experimental Design,Experimental Design,,Design specifications,Length of the experiment,total scanning time,,,total_scanning_time,total scanning time,total scanning time,,,,0,What was the total scanning time?,"Important to assess subject fatigue. If differing by subject, specify summary statistics (ean, range and/or standard deviation) ",float,,1,"NA
","NA
",1,,,,,,,,,,maybe,IMPORTANT IF META-ANALYSIS ON SYNDROME WITH HIGH LEVEL OF FATIGUE. MIGHT BE CONSIDER AS EXCLUSION CRITERIA
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Experimental Design,,Design specifications,Design optimization used,,,,design_optimization_used,design optimization used,design optimization used,,,,0,Was the design efficiency optimized?,,boolean,,1,"NA
","NA
",,,,,,optimization,,optmethod,5.9,,,
TRUE,TRUE,1,1,1,0,experimental_design,Experimental Design,Experimental Design,,Design specifications,Design optimization method,,,,design_optimization_method,design optimization method,design optimization method,,,,0,What method was used for optimization?,,radio,,design_optimization_used,"NA
","NA
",,,,,,optimization_method,,,,,,
TRUE,FALSE,1,1,0,1,experimental_design,Experimental Design,Experimental Design,,Task specification,Scanner synchronisation,,,,scanner_synchronisation,scanner synchronisation,scanner synchronisation,,,,0,How was the equipment was synched to the scanner?,,radio,scanner TTL | manual synch ,1,"NA
","NA
",3,,,,,,,,,,,
TRUE,FALSE,1,,,0,experimental_design,Experimental Design,Experimental Design,,Power analysis,Power analysis used,,,,power_analysis_used,power analysis used,power analysis used,,,,0,,,,,1,"NA
","NA
",,,,,,,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Experimental Design,,Power analysis,Power analysis parameters,Effect size,,,effect_size,effect size,effect size,,,,0,Effect size used for the power calculation (magnitude and standard deviation),,char,,power_analysis_used == 1,"NA
","NA
",,,,,,,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Experimental Design,,Power analysis,Power analysis parameters,Outcome,,,outcome,outcome,outcome,,,,0,The type of outcome used as the basis of power computations,,dropdown,signal in a pre­specified ROI | signal in a whole image voxelwise | signal in a whole image cluster­wise | signal in a whole image peak­wise,power_analysis_used == 2,"NA
","NA
",,,,,,,,,,,yes,FOR INCLUSION/EXCLUSION CRITERIA
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Experimental Design,,Power analysis,Power analysis parameters,Source of predicted effect size,,,source_of_predicted_effect_size,source of predicted effect size,source of predicted effect size,,,,0,Source of predicted effect size,previous literature with citation; pilot data with description,char,,power_analysis_used == 3,"NA
","NA
",,,,,,,,,,,yes,IMPORTANT FOR ANALYSIS WITH SOFTWARE LIKE SDM
