row_formating,activity_order,include,neurovault_or_carp,mandatory,activity,activity_pref_label,activity_description,activity_preamble,,,item,item_pref_label,item_description,item_order,duplicate,question,imortant UHF,details,field_type,choices,visibility,bids_status,bids_file,bids_key,bids_key_for_unit,neurovault,in_Carp_2012,percent_of_studies,percent_of_studies_anat,use_case_meta-analysis,meta-analysis_comment
FALSE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Pulse sequence type,,pulse_sequence_type,pulse sequence type,pulse sequence type,,0,Description of the pulse sequence used,,,radio,Gradient echo | Spin echo | Mutliband gradient echo | MPRAGE | MP2RAGE | FLASH,1,2,*_<modality_label>.json,PulseSequenceType,,pulse_sequence,pulseseq,93.7,95,,
TRUE,2,0,0,0,acquisition_all_types,Acquisition all types,Acquisition all types,,Pulse sequence details,,pulse_sequence_details,pulse sequence details,pulse sequence details,,0,,,,,,1,2,*_<modality_label>.json,"PulseSequenceDetails, ScanningSequence, SequenceVariant, ScanOptions, SequenceName",,,,,,,
TRUE,2,1,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Imaging type,,imaging_type,imaging type,imaging type,,0,What imaging type was used for this sequence?,,,radio,echo planar | spiral | 3D,1,2,,,,,,,,,
TRUE,2,1,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Imaging type,number of shots,number_of_shots,number of shots,number of shots,,0,Number of shots for multishot imaging,,,"int
",,1,,,,,,,,,,
TRUE,2,1,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Imaging type,partial fourrier scheme,partial_fourrier_scheme,partial fourrier scheme,partial fourrier scheme,,0,Partial Fourier scheme and reconstruction method if used,,,char,,1,,,,,,,,,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,echo time,,echo_time,echo time,echo time,,0,Specify the echo time (in milliseconds),,,float,,1,1,*_<modality_label>.json,EchoTime,,echo_time,te,95.4,55,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,repetition time,,repetition_time,repetition time,repetition time,,0,Specify the repetition time (in milliseconds),,,float,,1,1,*_<modality_label>.json,RepetitionTime,,repetition_time,tr,98.8,55,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,flip angle,,flip_angle,flip angle,flip angle,,0,Specify the flip angle (in degrees),,,float,,1,2,*_<modality_label>.json,FlipAngle,,flip_angle,angle,70,42,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,voxel dimension,,voxel_dimension,voxel dimension,voxel dimension,,0,Specify the voxel dimensions (in millimeters),,,char,,1,1,,,,,voxdim,41.9,50,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Acquisition time,,acquisition_time,acquisition time,acquisition time,,0,,,(duration of acquisition),float,,1,1,,,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Time per volume,,time_per_volume,time per volume,time per volume,,0,,,,float,,1,1,,,,,,,,,
TRUE,2,1,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Inversion recovery sequences,Inversion time,inversion_time,inversion time,inversion time,,0,Specify the inversion time (in milliseconds),,,float,,1,2,*_<modality_label>.json,InversionTime,,,,,,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,field of view,,field_of_view,field of view,field of view,,0,Specify the field of view,,,float,,1,1,,,,field_of_view,fov,63,45,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,in-plane matrix size,,in-plane_matrix_size,in-plane matrix size,in-plane matrix size,,0,Specify the in-plane matrix size,,,char,,1,1,,,,matrix_size,mtx,65,36.6,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,number of slices,,number_of_slices,number of slices,number of slices,,0,Specify the number of slices,,,float,,1,1,,,,,nbslic,93,40.3,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,slice thickness,,slice_thickness,slice thickness,slice thickness,,0,Specify the slice thickness (in millimeters),,,float,,1,1,,,,slice_thickness,sthick,75,55,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,interslice gap,,interslice_gap,interslice gap,interslice gap,,0,Specify the interslice gap (in millimeters),,,float,,1,2,,,,skip_factor,gap,50,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,3D matrix size,,3d_matrix_size,3d matrix size,3d matrix size,,0,,,,float,,for 3D acquistion,,,,,,,,,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Slice orientation,,slice_orientation,slice orientation,slice orientation,,0,Specigy the slice orientation,,,radio,axial | sagittal | coronal | oblique,1,,,,,acquisition_orientation,orient,77,38.7,,
