question	details	field_type	choices	item_pref_label	item_order	include	visibility	neurovault_or_carp	mandatory	activity_order	activity_pref_label			preamble	use_case_meta-analysis	meta-analysis_comment
List types of images and non­imaging data provided		textarea		Material shared	1	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	Material shared	data sharing aspects of your work
Report on the completeness of the data	For example number of subjects where all types of imaging, demographic, and behavioral data is available.	textarea		data completeness	2	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	Material shared
data URL or DOI		textarea		URL DOI	3	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	URL DOI
Specific instructions on how to gain access to the data.	 Specifically mention whether application must be vetted for particular intended research use (e.g. to preclude multiple users investigating the same question), or whether a research collaboration must be established	textarea		url, access information	4	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	URL, access information
Cost of access		textarea		access cost	5	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	access cost
Confirm that the ethics board of the host institution generating the data approves the sharing of the data made available		textarea		ethics compliance	6	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	Ethics compliance
Clarify any constraints on uses of shared data.	For example, whether users downloading the data also need ethics approval from their own institution.	textarea		constraints on use	7	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	Constraints on use
Provide URL to documentation, and specify its scope	For example worked examples, white papers...	textarea		documentation url	8	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Documentation URL
Report the format of the image data shared.	For example DICOM, MINC, NIFTI...	textarea		data format	9	1	1	1	1	1	Data Sharing	Reporting a data sharing resource	Data format
Data organization structures, including Data Dictionaries and Schemas.		textarea		data structure	10	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Data structure
Is the software using an established ontology?		radio	preset:boolean	ontologies	11	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Ontologies
Availability of in-resource visualization of the imaging or non­imaging data		radio	preset:boolean	visualization	12	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Visualization
How, if at all, data are de-identified ?		textarea		de-identification	13	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	De-identification
Availability of detailed provenance of preprocessing and analysis of shared data		radio	preset:boolean	provenance and history	14	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Provenance and history
Ability of a repository to work in a multi-database environment, availability of API’s and ability to connect to analysis pipelines		textarea		interoperability	15	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Interoperability
Mechanisms available for constructing queries on the repository (e.g. SQL, SPARQL)		textarea		querying	16	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Querying
How users can check version of downloaded data and compare it to the current version at a later time		textarea		versioning	17	1	1	1	0	1	Data Sharing	Reporting a data sharing resource	Versioning
