question	details	field_type	choices	item_pref_label	item_order	visibility	include	mandatory	activity_order	activity_pref_label			preamble
Tool names, versions, and URLs		text		tools used	1	1	1	1	1	Reproducibility	Documentation	Tools used	reproducibility aspects of your work
Machine CPU model, any use of parallelization		text		infrastructure	2	1	1	1	1	Reproducibility	Documentation	Infrastructure
operating system used for analysis		radio	preset:operating_systems	os_type	3	1	1	0	1	Reproducibility	Documentation	Infrastructure
operating system version		text		os_version	4	1	1	0	1	Reproducibility	Documentation	Infrastructure
Was a workflow system used?		radio	preset:boolean	workflow used	5	1	1	0	1	Reproducibility	Documentation	Workflow
Name of workflow system used		select	Nipype | make | snakemake | matlab batch | MIPAV	workflow type	6	1	1	0	1	Reproducibility	Documentation	Workflow
Version of the workflow system used		text		workflow version	7	1	1	0	1	Reproducibility	Documentation	Workflow
Provide a permanent identifie to the workflow if possible		text		workflow identifier	8	1	1	0	1	Reproducibility	Documentation	Workflow
State whether detailed provenance information is available		text		provenance trace	9	1	1	0	1	Reproducibility	Documentation	Provenance trace
Provide permanent identifier to the data if possible		text		data identifier	10	1	1	0	1	Reproducibility	Data	Data
Provide a URL linking to the relevant resource (for example, a jupyter notebook implementing key analyses)		text		literate programming	11	1	1	0	1	Reproducibility	Documentation	Literate program implementing results
Is the documentation provided in English?		text		english language version	12	1	1	0	1	Reproducibility	Documentation	English language version
Are the tools publically available?		text		tools availability	13	1	1	0	1	Reproducibility	Archiving	Tools availability
Is a virtual environment to facilitate a repeated analysis available?		text		virtual appliances	14	1	1	0	1	Reproducibility	Archiving	Virtual appliances
