include,activity,activity_pref_label,activity_description,,,,item,item_pref_label,item_description,item_order,mandatory,duplicate,question,details,field_type,choices,visibility
1,acquisition,Acquisition,Acquisition,Device,"MEEG manufacturer, model, sensor specification",,#REF!,#REF!,#REF!,,,2,,,,,
1,acquisition,Acquisition,Acquisition,Device,Details on additional devices used (manufacturer and make) for additional measures (behaviour or other),,#REF!,#REF!,#REF!,,,2,,,,,
1,acquisition,Acquisition,Acquisition,Sensor type and spatial layout,MEG,Planar/axial gradiometers and/or magnetometers,#REF!,#REF!,#REF!,,,2,,,,,
1,acquisition,Acquisition,Acquisition,Sensor type and spatial layout,MEG,Spatial layout,spatial_layout,spatial layout,spatial layout,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Electrode material,electrode_material,electrode material,electrode material,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Passive/active,passive/active,passive/active,passive/active,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Other,other,other,other,,,1,,,,,
1,acquisition,Acquisition,Acquisition,Sensor type and spatial layout,"EEG spatial layout: 10-20, 10-10 system, Geodesic, other. If not conventional, show map of electrode positions",,"eeg_spatial_layout:_10-20,_10-10_system,_geodesic,_other._if_not_conventional,_show_map_of_electrode_positions","eeg spatial layout: 10-20, 10-10 system, geodesic, other. if not conventional, show map of electrode positions","eeg spatial layout: 10-20, 10-10 system, geodesic, other. if not conventional, show map of electrode positions",,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,Ambient characteristics,,ambient_characteristics,ambient characteristics,ambient characteristics,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,"For MEG, empty room recorded?",,"for_meg,_empty_room_recorded?","for meg, empty room recorded?","for meg, empty room recorded?",,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,"For EEG, recording room shielded?",,"for_eeg,_recording_room_shielded?","for eeg, recording room shielded?","for eeg, recording room shielded?",,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,Participant preparation,EEG: skin preparation prior to electrode application,eeg:_skin_preparation_prior_to_electrode_application,eeg: skin preparation prior to electrode application,eeg: skin preparation prior to electrode application,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,Participant preparation,EEG: electrode application,eeg:_electrode_application,eeg: electrode application,eeg: electrode application,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,Participant preparation,MEG: participant degaussing,meg:_participant_degaussing,meg: participant degaussing,meg: participant degaussing,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,Participant preparation,MEG: special clothing,meg:_special_clothing,meg: special clothing,meg: special clothing,,,0,,,,,
1,acquisition,Acquisition,Acquisition,Participant preparation and test room,Participant preparation,Other,other,other,other,,,1,,,,,
1,acquisition,Acquisition,Acquisition,Impedance measurement,,,impedance_measurement,impedance measurement,impedance measurement,,,1,,"Report impedances for EEG/EOG/ECG/ EMG electrodes, preferably digitally storing them to the datafile",,,
