include,activity,activity_pref_label,activity_description,,,,item,item_pref_label,item_description,item_order,mandatory,duplicate,question,details,field_type,choices,visibility
1,design,Design,Design,Terminology and experimental break down,Number of sessions,,number_of_sessions,number of sessions,number of sessions,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Number of runs per session,,number_of_runs_per_session,number of runs per session,number of runs per session,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Number of events per run,,number_of_events_per_run,number of events per run,number of events per run,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Number of conditions,,number_of_conditions,number of conditions,number of conditions,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Number of trials per conditions,,number_of_trials_per_conditions,number of trials per conditions,number of trials per conditions,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Detail how data were epoched,,detail_how_data_were_epoched,detail how data were epoched,detail how data were epoched,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Number of epochs,,number_of_epochs,number of epochs,number of epochs,,,0,,,,,
1,design,Design,Design,Terminology and experimental break down,Analysis space,,analysis_space,analysis space,analysis space,,,,Which space are the analyses performed?,,radio multi,sensor space | source space,
1,design,Design,Design,Participants,Medication,,medication,medication,medication,,,0,,,,,
1,design,Design,Design,Stimulation/task parameters,Characteristics of the overall testing environment,,characteristics_of_the_overall_testing_environment,characteristics of the overall testing environment,characteristics of the overall testing environment,,,0,,,,,
1,design,Design,Design,Stimulation/task parameters,Number of experimenters,,number_of_experimenters,number of experimenters,number of experimenters,,,0,,,,,
1,design,Design,Design,Stimulation/task parameters,Stimulus properties,Resting state,resting_state,resting state,resting state,,,0,,Indicate if subjects eyes were opened or closed,,,
1,design,Design,Design,Stimulation/task parameters,Stimulus properties,Task with stimuli,task_with_stimuli,task with stimuli,task with stimuli,,,0,,"Describe how stimuli was produced. For example, stimuli from existing stimulus sets or databases are used, the name of the database (or subset of stimuli used) should be provided. If stimuli are created or manipulated, specific software or algorithms need to be identified.",,,
1,design,Design,Design,Behavioral data,How was collected (hardware),,how_was_collected_(hardware),how was collected (hardware),how was collected (hardware),,,0,,,,,
