include,activity,activity_pref_label,activity_description,,,,item,item_pref_label,item_description,item_order,mandatory,duplicate,question,details,field_type,choices,visibility
1,processing,processing,processing,Workflow,,,workflow,workflow,workflow,,,0,,Indicate in detail the exact order in which preprocessing steps took place,,,
1,processing,processing,processing,Software,"Which software and version was/were used for preprocessing and processing,",,"which_software_and_version_was/were_used_for_preprocessing_and_processing,","which software and version was/were used for preprocessing and processing,","which software and version was/were used for preprocessing and processing,",,,0,,,,,
1,processing,processing,processing,Software,Which analysis platform was used,,which_analysis_platform_was_used,which analysis platform was used,which analysis platform was used,,,0,,,,,
1,processing,processing,processing,Software,"In house code, shared/public?",,"in_house_code,_shared/public?","in house code, shared/public?","in house code, shared/public?",,,0,,,,,
1,processing,processing,processing,Generic pre-processing,Downsampling of the data,,downsampling_of_the_data,downsampling of the data,downsampling of the data,,,0,,,,,
1,processing,processing,processing,Generic pre-processing,"If electrodes/sensors were removed, which identification method was used",,"if_electrodes/sensors_were_removed,_which_identification_method_was_used","if electrodes/sensors were removed, which identification method was used","if electrodes/sensors were removed, which identification method was used",,,0,,,,,
1,processing,processing,processing,Generic pre-processing,"If electrodes/sensors were removed, which ones were deleted",,"if_electrodes/sensors_were_removed,_which_ones_were_deleted","if electrodes/sensors were removed, which ones were deleted","if electrodes/sensors were removed, which ones were deleted",,,0,,,,,
1,processing,processing,processing,Generic pre-processing,if channel interpolation is performed indicate which method,,if_channel_interpolation_is_performed_indicate_which_method,if channel interpolation is performed indicate which method,if channel interpolation is performed indicate which method,,,0,,,,,
1,processing,processing,processing,Generic pre-processing,Specify detrending method (typically polynomial order) for baseline correction,,specify_detrending_method_(typically_polynomial_order)_for_baseline_correction,specify detrending method (typically polynomial order) for baseline correction,specify detrending method (typically polynomial order) for baseline correction,,,0,,,,,
1,processing,processing,processing,Generic pre-processing,Specify noise normalization method (typically used in multivariate analyses),,specify_noise_normalization_method_(typically_used_in_multivariate_analyses),specify noise normalization method (typically used in multivariate analyses),specify noise normalization method (typically used in multivariate analyses),,,0,,,,,
