include	neurovault_or_carp	mandatory	activity	activity_pref_label	activity_description						item	item_pref_label	bids_key	item_description	item_order	mri_type	duplicate	question	details	field_type	choices	visibility	spm_default	fsl_default	bids_status	bids_file	bids_key_for_unit	nidm_results	neurovault	included_in_NARPS	in_Carp_2012	percent_of_studies	percent_of_studies_anat	use_case_meta-analysis	meta-analysis_comment
0	0	0	acquisition	Acquisition	Acquisition	Subject preparation	Mock scanning	Mock scanning used				mock scanning used		mock scanning used			-1	Was an MRI simulator used to acclimate subjects to scanner environment?		radio	preset:boolean	1	NA 	NA 											
		0	acquisition	Acquisition	Acquisition	Subject preparation	Mock scanning	Mock scanning description				mock scanning description		mock scanning description			-1	Report type of mock scanner and protocol (i.e. duration, types of simulated scans, experiments)		char		mock_scanning_used == 1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	Subject preparation	Special accommodations					special accommodations		special accommodations			-1		For example, for pediatric scanning, presence of parent/guardian in the room	char		1	NA 	NA 											
0	0	0	acquisition	Acquisition	Acquisition	Subject preparation	Experimenter personnel					experimenter personnel		experimenter personnel			-1	How many experimenters interacted with the participants?		int		1	NA 	NA 											
1	1	1	acquisition	Acquisition	Acquisition	MRI system description	Scanner	make				make	InstitutionName, Manufacturer, InstitutionAddress, InstitutionalDepartmentName 	make			-1	Manufacturer of MRI scanner		radio	Siemens | Philips | General Electric	1	NA 	NA 	2	*_<modality_label>.json			scanner_make					yes	relevant for inclusion/exclusion criteria or sub-analysis
1	1	1	acquisition	Acquisition	Acquisition	MRI system description	Scanner	model			ManufacturersModelName	model	ManufacturersModelName	model			0	Model of MRI scanner		char		1	NA 	NA 	2	*_<modality_label>.json			scanner_model					yes	
1	1	1	acquisition	Acquisition	Acquisition	MRI system description	Scanner	field strength			MagneticFieldStrength	field strength	MagneticFieldStrength	field strength			0	Field strength of MRI scanner (in Tesla)		float		1	NA 	NA 	2	*_<modality_label>.json			field_strength					yes	
1	0	1	acquisition	Acquisition	Acquisition	MRI system description	Coil	receive coil				receive coil	ReceiveCoilName, ReceiveCoilActiveElements	receive coil			-1	What type of receive coil was used?		radio	standard: receive coil | non-standard openfield	1	NA 	NA 	2	*_<modality_label>.json									
0	0	0	acquisition	Acquisition	Acquisition	MRI system description	Coil	transmit coil			MRTransmitCoilSequence	transmit coil	MRTransmitCoilSequence	transmit coil			0					1	NA 	NA 	2	*_<modality_label>.json									
0	0	0	acquisition	Acquisition	Acquisition	MRI system description	Coil	gradient			GradientSetType	gradient	GradientSetType	gradient			0					1	NA 	NA 	2	*_<modality_label>.json									
0	0	0	acquisition	Acquisition	Acquisition	MRI system description	Coil	other				other	MatrixCoilMode, CoilCombinationMethod	other			-1					1	NA 	NA 	2	*_<modality_label>.json									
0	0	0	acquisition	Acquisition	Acquisition	MRI system description	Significant hardware modifications					significant hardware modifications		significant hardware modifications			-1		For example, special gradient inserts/sets	char		1	NA 	NA 											
0	0	0	acquisition	Acquisition	Acquisition	MRI system description	Software version				SoftwareVersions	software version	SoftwareVersions	software version			0		Highly recommended when sharing vendor-specific protocols or exam cards, as version may be needed to correctly interpret that information	char		1	NA 	NA 	2	*_<modality_label>.json									
1	1	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Functional MRI	number of volumes			number of volumes		number of volumes		fMRI	-1	Specify the number of volumes		int		1	NA 	NA 	1						nbvol	50			
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Functional MRI	Sparse sampling delay			sparse sampling delay	VolumeTiming, DelayTime	sparse sampling delay		fMRI	-1		(delay in TR) if used	float		1	NA 	NA 	1	*bold.json									
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	B0 field maps	Echo time difference			echo time difference	EchoTime, EchoTime1 and EchoTime2, PhaseEncodingDirection and TotalReadoutTime, Units	echo time difference			-1		(dTE)	float		1	NA 	NA 	1	*fmap.json									
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Number of directions			number of directions		number of directions		DWI	-1			float		1	NA 	NA 	1										
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Direction optimization, if used and type			direction optimization, if used and type		direction optimization, if used and type		DWI	-1	Was direction optimization used?		radio	preset:boolean	1	NA 	NA 	3										
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	B-values			b-values		b-values		DWI	-1			float		1	NA 	NA 	1										
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Number of b=0 images			number of b=0 images		number of b=0 images		DWI	-1			float		1	NA 	NA 	2										
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Number of averages (if any)			number of averages (if any)		number of averages (if any)		DWI	-1			float		1	NA 	NA 	2										
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Single shell, multi­shell (specify equal or unequal spacing)			single shell, multi­shell (specify equal or unequal spacing)		single shell, multi­shell (specify equal or unequal spacing)		DWI	-1			select	Single shell | multi­shell (specify equal or unequal spacing)	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Single­ or dual­-spin-­echo, gradient mode (serial or parallel)			single­ or dual­-spin-­echo, gradient mode (serial or parallel)		single­ or dual­-spin-­echo, gradient mode (serial or parallel)		DWI	-1			select	Single­ or dual­-spin-­echo | gradient mode (serial or parallel)	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Essential sequence and imaging parameters	Diffusion MRI	Cardiac gating			cardiac gating		cardiac gating		DWI	-1	Was cardiac gating used?		radio	preset:boolean	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Scanner-side preprocessing					scanner-side preprocessing		scanner-side preprocessing			-1		Reconstruction matrix size differing from acquisition matrix size			1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Scanner-side preprocessing	prospective moco used				prospective moco used		prospective moco used			-1	Was prospective motion correction used?		radio	preset:boolean	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Scanner-side preprocessing	prospective moco param				prospective moco param		prospective moco param			-1	Describe the prospective motion correction (details of any optical tracking, how motion parameters are used, ...		char		prospective_moco_used == 1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Scanner-side preprocessing	signal inhomogeneity correction used				signal inhomogeneity correction used		signal inhomogeneity correction used			-1	Was there signal inhomogeneity correction?		radio	preset:boolean	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Scanner-side preprocessing	signal inhomogeneity correction param				signal inhomogeneity correction param		signal inhomogeneity correction param			-1	Describe the signal inhomogeneity correction		char		signal_inhomogeneity_correction_used == 1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Scanner-side preprocessing	distortion correction used				distortion correction used		distortion correction used			-1	Was distortion-correction applied?		radio	preset:boolean	1	NA 	NA 											
0	0	0	acquisition	Acquisition	Acquisition	MRI acquisition	Scan duration					scan duration		scan duration			-1		In seconds 	float		1	NA 	NA 											
0	0	0	acquisition	Acquisition	Acquisition	MRI acquisition	Other non­standard procedures					other non­standard procedures		other non­standard procedures			-1		Turning off the cold head(s) (e.g. during EEG/fMRI or spectroscopy measurements)			1	NA 	NA 											
0	0	0	acquisition	Acquisition	Acquisition	MRI acquisition	Other non­standard procedures					other non­standard procedures		other non­standard procedures			-1		Reduce sound pressure by limiting the gradient slew rate	char		1	NA 	NA 											
0	0	0	acquisition	Acquisition	Acquisition	MRI acquisition	Diffusion MRI gradient table					diffusion mri gradient table		diffusion mri gradient table			-1		Also referred to as the b­matrix (but not to be confused with the 3×3 matrix that describes diffusion weighting for a single diffusion weighted measurement)			1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	All acquisitions	Labelling method		labelling method		labelling method		ASL	-1			select	continuous ASL (CASL) | pseudo-continuous ASL (PCASL) | Pulsed ALS (PASL) | velocity selective ASL (VSASL)	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	All acquisitions	Use of background suppression pulses and their timing		use of background suppression pulses and their timing		use of background suppression pulses and their timing		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL or CASL	Label Duration		label duration		label duration		ASL	-1			float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL or CASL	Post-labeling delay (PLD)		post-labeling delay (pld)		post-labeling delay (pld)		ASL	-1			float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL or CASL	Location of the labelling plane		location of the labelling plane		location of the labelling plane		ASL	-1			char		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL	Average labelling gradient		average labelling gradient		average labelling gradient		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL	Slice­s elective labeling gradient		slice­s elective labeling gradient		slice­s elective labeling gradient		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL	Flip angle of B1 pulses		flip angle of b1 pulses		flip angle of b1 pulses		ASL	-1					1	NA 	NA 											
