question	imortant UHF	details	field_type	choices	item	item_pref_label	bids_key	item_order	visibility	include	mandatory	item_description	neurovault_or_carp	activity_order	activity_pref_label			bids_status	bids_file	bids_key_for_unit	neurovault	in_Carp_2012	percent_of_studies	percent_of_studies_anat	use_case_meta-analysis	meta-analysis_comment
Description of the pulse sequence used			select	Gradient echo | Spin echo | Mutliband gradient echo | MPRAGE | MP2RAGE | FLASH		pulse sequence type	PulseSequenceType	1	1	1	1	pulse sequence type	1	1	common parameters	Pulse sequence type		2	*_<modality_label>.json		pulse_sequence	pulseseq	93.7	95		
Mention additional details about the seqeunce			text			pulse sequence details	PulseSequenceDetails, ScanningSequence, SequenceVariant, ScanOptions, SequenceName	2	1	1	0	pulse sequence details	0	1	common parameters	Pulse sequence details		2	*_<modality_label>.json							
What imaging type was used for this sequence?			radio	echo planar | spiral | 3D		imaging type		3	1	1	1	imaging type	0	1	common parameters	Imaging type		2								
Number of shots for multishot imaging			integer 			number of shots		4	1	1	1	number of shots	0	1	common parameters	Imaging type	number of shots									
Partial Fourier scheme and reconstruction method if used			text			partial fourrier scheme		5	1	1	1	partial fourrier scheme	0	1	common parameters	Imaging type	partial fourrier scheme									
Specify the echo time (in milliseconds)			float		EchoTime	echo time	EchoTime	6	1	1	1	echo time	1	1	common parameters	echo time		1	*_<modality_label>.json		echo_time	te	95.4	55		
Specify the repetition time (in milliseconds)			float		RepetitionTime	repetition time	RepetitionTime	7	1	1	1	repetition time	1	1	common parameters	repetition time		1	*_<modality_label>.json		repetition_time	tr	98.8	55		
Specify the flip angle (in degrees)			float		FlipAngle	flip angle	FlipAngle	8	1	1	1	flip angle	1	1	common parameters	flip angle		2	*_<modality_label>.json		flip_angle	angle	70	42		
Specify the voxel dimensions (in millimeters)			text			voxel dimension		9	1	1	1	voxel dimension	1	1	common parameters	voxel dimension		1				voxdim	41.9	50		
Specify the acquisition time (in milliseconds)		(duration of acquisition)	float			acquisition time		10	1	1	1	acquisition time	0	1	common parameters	Acquisition time		1								
			float			time per volume		11	1	0	1	time per volume	0	1	common parameters	Time per volume		1								
Specify the inversion time (in milliseconds)			float		InversionTime	inversion time	InversionTime	12	1	1	1	inversion time	0	1	common parameters	Inversion recovery sequences	Inversion time	2	*_<modality_label>.json							
Specify the field of view			float			field of view		13	1	1	1	field of view	1	1	common parameters	field of view		1			field_of_view	fov	63	45		
Specify the in-plane matrix size			text			in-plane matrix size		14	1	1	1	in-plane matrix size	1	1	common parameters	in-plane matrix size		1			matrix_size	mtx	65	36.6		
Specify the number of slices			float			number of slices		15	1	1	1	number of slices	1	1	common parameters	number of slices		1				nbslic	93	40.3		
Specify the slice thickness (in millimeters)			float			slice thickness		16	1	1	1	slice thickness	1	1	common parameters	slice thickness		1			slice_thickness	sthick	75	55		
Specify the interslice gap (in millimeters)			float			interslice gap		17	1	1	1	interslice gap	1	1	common parameters	interslice gap		2			skip_factor	gap	50			
Specify the 3D matrix size			float			3d matrix size		18	imaging_type == 2	1	1	3d matrix size	0	1	common parameters	3D matrix size										
Specigy the slice orientation			select	axial | sagittal | coronal | oblique		slice orientation		19	1	1	1	slice orientation	1	1	common parameters	Slice orientation					acquisition_orientation	orient	77	38.7		
Is acquisition aligned with scanner axes?		Angulation: If acquisition not aligned with scanner axes, specify angulation to AC­PC line (see Slice position procedure)	radio	preset:boolean		slice alignement		20	1	1	1	slice alignement	0	1	common parameters	Slice alignement										
Specify phase encoding direction			radio	A/P | P/A | L/R | S/I	PhaseEncodingDirection	phase encoding	PhaseEncodingDirection	21	1	1	1	phase encoding	0	1	common parameters	Phase encoding		2	*_<modality_label>.json							
Specify the 3D phase encoding direction		For 3D, specify “partition encode” (aka slice) direction	text			3d phase encoding		22	imaging_type == 2	1	1	3d phase encoding	0	1	common parameters	Phase encoding	3D phase encoding									
Is phase encoding reversal used?			radio	preset:boolean		phase encoding reversal		23	1	1	1	phase encoding reversal	0	1	common parameters	Phase encoding	Phase encoding reversal									
