activity_pref_label				item	include	neurovault_or_carp	mandatory	item_order	mri_type	analysis_type	question	details	field_type	choices	visibility	spm_default	fsl_default	bids_status	nidm_results	neurovault	in_Carp_2012	percent_of_studies	percent_of_studies_anat	use_case_meta-analysis	meta-analysis_comment
Results	Mass univariate analysis	Effects tested		effects_tested	0	0	1	1		mass_univariate		Provide a complete list of tested and omitted effects	char		1									yes	important to plan analysis
Results	Mass univariate analysis	Extracted data		extracted_data	0	0	1	2		mass_univariate		Define how voxels/elements were selected; if region is based on the same data, clarify how circularity was accounted for			1									yes	important to plan analysis
Results	Mass univariate analysis	Extracted data	units of reported results	units_of_reported_results	1	1	1	3		mass_univariate	Unit used to report results 		radio	beta values | percent signal change	1						roisig, roipct	65, 11.1			
Results	Mass univariate analysis	Extracted data		extracted_data	0	0	1	4		mass_univariate		If reporting R^2 (coefficient of determination) clarify how nuisance variability is considered. For instance, in task fMRI the vast majority of variance is explained by slow temporal drift, and R^2 values for an effect of interest will be vastly different if computed with or without counting drift in the total variance			1										
Results	Mass univariate analysis	Extracted data		extracted_data	0	0	1	5		mass_univariate		State whether data extracted from an ROI (e.g. to compute an effect size) is defined based on independent data, as otherwise it is susceptible to bias			1										
Results	Mass univariate analysis	Extracted data		extracted_data	0	0	1	6		mass_univariate		If ROIs are circularly defined, best not to provide any statistical summary (i.e. p-values, R^2, etc.)			1										
Results	Mass univariate analysis	Tables of coordinates	contrast and effect	contrast_and_effect	0	1	1	7		mass_univariate		contrast and effect to which it refers	boolean		1						contr	70			
Results	Mass univariate analysis	Tables of coordinates	XYZ coordinate	xyz_coordinate	0	1	1	8		mass_univariate			boolean		1						coord	98		yes	indispensable to run analysis
Results	Mass univariate analysis	Tables of coordinates	coordinate system	coordinate_system	0	1	1	9		mass_univariate		clarify whether peak or center-of-­mass location	radio	MNI | Talairach	1						space	75			
Results	Mass univariate analysis	Tables of coordinates		tables_of_coordinates	0	0	1	10		mass_univariate		Anatomical region (in caption or body text, describe source of labels, e.g. subjective, atlas, etc.)			1									yes	helpful but not necessary
Results	Mass univariate analysis	Tables of coordinates		tables_of_coordinates	0	0	1	11		mass_univariate		P­-value forming basis of inference (e.g. voxel­-wise FWE corrected P; or cluster­-wise FDR corrected P)			1										
Results	Mass univariate analysis	Tables of coordinates	statistic presented	statistic_presented	0	1	1	12		mass_univariate		with degrees of freedom in table caption	radio	T | F | Z	1						stat	90		yes	important for coordinate based meta-analysis using SDM
Results	Mass univariate analysis	Tables of coordinates		tables_of_coordinates	0	0	1	13		mass_univariate		In caption, state whether coordinates are from whole brain, or from a specific constrained volume			1									yes	important for inclusion/exclusion criteria
Results	Mass univariate analysis	Tables of coordinates	cluster-size	cluster-size	0	1	1	14		mass_univariate		If cluster­wise inference is used. Report in mm3 or, if in voxels, be explicit about the size of voxels. If a cluster statistic other than size is used (e.g. mass) it should be listed as well	boolean		1						ext	68			
Results	Mass univariate analysis	Tables of coordinates		tables_of_coordinates	0	0	1	15		mass_univariate		In caption or body text, note criterion for peak per cluster reporting; e.g. “one peak per cluster listed”, or “up to 3 per cluster that are at least 8mm apart” (SPM default), etc.			1										
Results	Mass univariate analysis	Thresholded maps	type of inference	type_of_inference	0	1	0	16		mass_univariate			boolean		1						stat	40			
Results	Mass univariate analysis	Thresholded maps	mention multiple comparison correction method	mention_multiple_comparison_correction_method	0	0	0	17		mass_univariate		as well as form of any sub-volume corrections applied when computing corrected significance	dropdown	Familywise Error: Random Field Theory; Familywise Error: Permutation; Familywise Error: Monte Carlo; Familywise Error: Bonferroni | False Discovery Rate: Benjamini and Hochberg | False Discovery Rate: Positive FDR | False Discovery Rate: Local FDR | False Discovery Rate: Cluster-level FDR | None/Uncorrected	1										
Results	Mass univariate analysis	Unthresholded maps (Share via supplementary material or repository)		unthresholded_maps_(share_via_supplementary_material_or_repository)	0	0	1	18		mass_univariate		Unthresholded statistic maps			1									yes	useful for future meta-analysis based on these maps
Results	Mass univariate analysis	Unthresholded maps (Share via supplementary material or repository)		unthresholded_maps_(share_via_supplementary_material_or_repository)	0	0	1	19		mass_univariate		Optionally, the thresholded statistic maps			1										
Results	Mass univariate analysis	Unthresholded maps (Share via supplementary material or repository)		unthresholded_maps_(share_via_supplementary_material_or_repository)	0	0	1	20		mass_univariate		Optionally, the effect size map (e.g. % BOLD change, % GM change)			1										
Results	Mass univariate analysis	Spatial features		spatial_features	0	0	1	21		mass_univariate		Size of the analysis volume in voxels, mm			1										
Results	Mass univariate analysis	Spatial features	Spatial smoothness of noise	spatial_smoothness_of_noise	1	1	1	22		mass_univariate	Noise smoothness for statistical inference (FWHM)	This is the estimated smoothness used with Random Field Theory or a simulation-based inference method.	char		1					group_smoothness_fwhm	fwefwhm	0			
Results	Mass univariate analysis	Spatial features	Resel count	resel_count	1	1	1	23		mass_univariate	Number of resels		float		1						fweresel	0			
Results	Functional connectivity	ICA analyses		ica_analyses	0	0	1	24		connectivity		Report the total number of components (especially when estimated from the data and not fixed). Report the number of these analyzed and the reason for their selection			1										
Results	Functional connectivity	Graph analyses		graph_analyses	0	0	1	25		connectivity		For graph-based methods, carefully state what is the null hypothesis of the test and how the statistic distribution under the null is computed			1										
Results	Multivariate modelling and predictive analysis	Optimised evaluation metrics		optimised_evaluation_metrics	0	0	1	26		multivariate		Report the values obtained for the evaluation metrics chosen (see Evaluation Metrics, above), as well as any P­values to justify above­-chance performance			1										
