0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,
duplicate,,include,activity,activity_pref_label,activity_description,item_order,item,item_pref_label,item_description,mandatory,visibility,question,details,field_type,choices,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,1,rater_ID,rater ID,rater ID,1,1,Who is completing this form? [initials],,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,2,pubmed_ID,pubmed ID,pubmed ID,1,1,Enter the publication PubMed ID (PMID),,int,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,3,publication_DOI,publication DOI,publication DOI,1,1,Enter the publication DOI,,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,4,publiction_URL,publiction URL,publiction URL,1,1,"If there is there a full text link for this publication, enter it here:",,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,5,data_accessible,data accessible,data accessible,1,1,Does the publication provide information about how to access the raw imaging data?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,6,data_location,data location,data location,0,data_accessible == 1,From where/how am I instructed to access the data?,,dropdown,Repository - Authorization Required | Data available upon request from author,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,7,data_repository,data repository,data repository,0,data_accessible == 1,"From which repository(s) is this data listed as being available from (i.e. NITRC or OpenNeuro, etc.)?",,dropdown,ABIDE | ABIDE 2 | NITRC | UK Biobank | FCP | HCP | COINS | LORIS,,,,,,,,,,,,Which class of operating system was indicated for the statistical analysis?,Describe the operating system details (i.e. specific version) provided (i.e. MacOS 10.12.6). :,Are the detailed statistical parameters/model specified?,Do you think a reasonably skilled statistical analyst could re-execute this statistical analysis (including getting the specified versions of the statistical tools and operating system indicated)?,"Are the complete results (derived images, summary data, etc.) available?",How are the results accessed?,Which repository(ies),Please indicate any additional information provided that would impact the re-executability of this publication.,Was this study 'pre-registered',Provide link or other details regarding the pre-registration:,Let us know if you have any comments/corrections/improvements to suggest for this survey.
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,8,data_website,data website,data website,0,data_accessible == 1,From which website(s) is this data listed as being available from?,,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,9,data_access_attempt,data access attempt,data access attempt,0,data_accessible == 1,Have you tried to access this data?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
