name	value
ASL 504	0
ASL 6000	1
ASL EYE-TRAC 6	2
BioMed Version 2	3
EAS Binocular	4
EEG-1100	5
EyeFollower	6
EyeLink 1.11	7
EyeLink 1000	8
EyeLink 1000 Plus	9
EyeLink 1001	10
EyeLink 2000	11
EyeLink II	12
EyeTribe	13
FreeView DTS	14
Locarna eye tracker	15
Miramatrix s2 system	16
SMI Glases	17
SMI HED4	18
SMI RED	19
SMI RED mobile	20
Sony VFCB-EX480B	21
Tobii 1749	22
Tobii 1750	23
Tobii 1751	24
Tobii 2150	25
Tobii 2151	26
Tobii Glasses	27
Tobii T-120	28
Tobii T-59	29
Tobii T-60	30
Tobii T-60 XL	31
Tobii T-61	32
Tobii TX-300	33
Tobii TX-301	34
Tobii X-120	35
Tobii X-20	36
Tobii X-50	37
Tobii X-60	38
Tobii X1	39
Tobii pro X2-60	40
View Point Eye Frame PC60	41
other	42
