name	value	release date
SPM 12 - 6225	13	01-Oct-2014
SPM 12 - 6470	14	03-Jun-2015
SPM 12 - 6685	15	15-Jan-2016
SPM 12 - 6906	16	20-Oct-2016
SPM 12 - 7219	17	16-Nov-2017
SPM 12 - 7487	18	14-Nov-2018
SPM 12 - 7771	19	13-Jan-2020
SPM 8 - 3042	4	02-Apr-2009
SPM 8 - 3164	5	29-May-2009
SPM 8 - 3408	6	16-Sep-2009
SPM 8 - 3684	7	14-Jan-2010
SPM 8 - 4010	8	21-Jul-2010
SPM 8 - 4290	9	04-Apr-2011
SPM 8 - 4667	10	27-Feb-2012
SPM 8 - 5236	11	04-Feb-2013
SPM 8 - 6313	12	02-Mar-2015
SPM 5	3	
SPM 2	2	
SPM 99	1	
SPM 96	0	
