name	value
Attention Tool 5.2 software	0
Cogent	1
EEVoke	2
Eprime	3
ERP system	4
ERTS	5
Experiment Builder	6
expyriment	7
Eye-Works Design, EyeWorks record	8
Eyelink	9
Gaze Tracker software	10
Inquisit 3.0.5	11
InsEP	12
Matlab	13
Neurolab	14
OpenSesam	15
PhotoRating (web application)	16
Power Point	17
Presentation	18
PsychoPy	19
Psychtoolbox	20
Relax, Archisim	21
S-CCS (simulation of a naval air-defense environment)	22
Sawtooth Software	23
SMI Experiment Center	24
SR Experiment Builder	25
StatSoft Statistica	26
STIM	27
StimPres	28
SuperLab	29
TEMPO software system (reflective Computing)	30
Tobii	31
Tobii Studio	32
Tobii Studio Professional	33
Tobii X1 Light eye-tracking software	34
unipark	35
Other	36
