Apdx,Table,A1,A2,A3,A4,Ref1(formula),D,Ref2(formula),Reference,ActivityName,aspect_1,aspect_2,aspect_3,aspect_4,item_name,question,details,format,choice_levels,visibility,Common to MR spreadsheet (yellow=Y=already included for MR & can be ignored in this document; green=P=areas of potential overlap),BIDS_status,BIDS_source,BIDS_source_field
MEEG.,01,01,01,00,00,MEEG.01.01.01.00.00,01,MEEG.01.01.01.00.00.01,MEEG.01.01.01.00.00.01,Table 1. Design reporting,Terminology and experimental break down,Number of sessions,,,,,,,,,P,,,
MEEG.,01,01,02,00,00,MEEG.01.01.02.00.00,01,MEEG.01.01.02.00.00.01,MEEG.01.01.02.00.00.01,Table 1. Design reporting,Terminology and experimental break down,Number of runs per session,,,,,,,,,P,,,
MEEG.,01,01,03,00,00,MEEG.01.01.03.00.00,01,MEEG.01.01.03.00.00.01,MEEG.01.01.03.00.00.01,Table 1. Design reporting,Terminology and experimental break down,Number of trials per run,,,,,,,,,P,,,
MEEG.,01,01,04,00,00,MEEG.01.01.04.00.00,01,MEEG.01.01.04.00.00.01,MEEG.01.01.04.00.00.01,Table 1. Design reporting,Terminology and experimental break down,Conditions,,,,,,,,,Y,,,
MEEG.,01,01,05,00,00,MEEG.01.01.05.00.00,01,MEEG.01.01.05.00.00.01,MEEG.01.01.05.00.00.01,Table 1. Design reporting,Terminology and experimental break down,Detail how data were epoched,,,,,,,,,P,,,
MEEG.,01,02,01,00,00,MEEG.01.02.01.00.00,01,MEEG.01.02.01.00.00.01,MEEG.01.02.01.00.00.01,Table 1. Design reporting,Statistical power,Detail any analysis performed to justify the number of trials/participants,,,,,,,,,,,,
MEEG.,01,03,01,00,00,MEEG.01.03.01.00.00,01,MEEG.01.03.01.00.00.01,MEEG.01.03.01.00.00.01,Table 1. Design reporting,Participants,Recruitment and selection strategy,,,,,,,,,Y,,,
MEEG.,01,03,02,00,00,MEEG.01.03.02.00.00,01,MEEG.01.03.02.00.00.01,MEEG.01.03.02.00.00.01,Table 1. Design reporting,Participants,Inclusion criteria,,,,,,,,,Y,,,
MEEG.,01,03,03,00,00,MEEG.01.03.03.00.00,01,MEEG.01.03.03.00.00.01,MEEG.01.03.03.00.00.01,Table 1. Design reporting,Participants,Exclusion criteria,,,,,,,,,Y,,,
MEEG.,01,03,04,01,00,MEEG.01.03.04.01.00,01,MEEG.01.03.04.01.00.01,MEEG.01.03.04.01.00.01,Table 1. Design reporting,Participants,Demographics,Gender,,,,,,,,Y,,,
MEEG.,01,03,04,02,00,MEEG.01.03.04.02.00,01,MEEG.01.03.04.02.00.01,MEEG.01.03.04.02.00.01,Table 1. Design reporting,Participants,Demographics,Age,,,,,,,,Y,,,
MEEG.,01,03,04,03,00,MEEG.01.03.04.03.00,01,MEEG.01.03.04.03.00.01,MEEG.01.03.04.03.00.01,Table 1. Design reporting,Participants,Demographics,Handedness,,,,,,,,Y,,,
MEEG.,01,03,04,04,00,MEEG.01.03.04.04.00,01,MEEG.01.03.04.04.00.01,MEEG.01.03.04.04.00.01,Table 1. Design reporting,Participants,Demographics,Education,,,,Total years of education,,,,Y,,,
MEEG.,01,03,04,04,00,MEEG.01.03.04.04.00,02,MEEG.01.03.04.04.00.02,MEEG.01.03.04.04.00.02,Table 1. Design reporting,Participants,Demographics,Education,,,,Highest qualification,,,,Y,,,
MEEG.,01,03,04,05,00,MEEG.01.03.04.05.00,01,MEEG.01.03.04.05.00.01,MEEG.01.03.04.05.00.01,Table 1. Design reporting,Participants,Demographics,Other relevant,,,,,,,,P,,,
