0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
row fomarting,row fomarting,order,include,neurovault_or_carp,mandatory,activity,activity_pref_label,,,,,,item,mri_type,analysis_type,duplicate,question,details,field_type,choices,visibility,spm_default,fsl_default,BIDS_status,BIDS_file,BIDS_key,NIDMs_results_status,neurovault,included_in_NARPS,in_Carp_2012,%_of_studies,%_of_studies_structural,use_case_meta-analysis,meta-analysis_comment
FALSE,FALSE,1,1,1,1,experimental_design,Experimental Design,Group comparison,,,,,group_comparison,,,0,Was this study a group comparison? ,,boolean,,1,"NA
","NA
",,,,,group_comparison,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Group comparison,Number of groups,,,,number_of_groups,,,0,,,int,,1,"NA
","NA
",,,,,,,,,,,
TRUE,FALSE,1,0,0,1,experimental_design,Experimental Design,Number of subjects (by group),Number of subjects planned,,,,number_of_subjects_planned,,,0,,Number of subjects planned,int,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects approached,,,,subjects_approached,,,0,,Number of subjects approached,int,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects consented,,,,subjects_consented,,,0,,Number of subjects consented,int,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects refused to participate,,,,subjects_refused_to_participate,,,0,,Provide reasons,int,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects refused to participate,reason for refusal,,,reason_for_refusal,,,0,,,char,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,1,1,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects excluded,,,,subjects_excluded,,,0,Number of subjects excluded after consenting but before data acquisition,"i.e., participants who could not be scanned due to anxiety, presence of metal implants",int,,1,"NA
","NA
",,,,,,,nreject,27.9,,,
TRUE,TRUE,1,1,0,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects excluded,reason for exclusion,,,reason_for_exclusion,,,0,Why were subjects excluded?,,char,,subjects_excluded == 1,"NA
","NA
",,,,,,,,,,,
TRUE,FALSE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Mean age,,,,mean_age,,,0,Age of participants: Mean (in years),,float,,1,"NA
","NA
",2,participants.tsv,,,subject_age_mean,,agemean,75,,Y,NECESSARY TO DESCRIBE SAMPLE
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Age standard deviation,,,,age_standard_deviation,,,0,Age of participants: Standard deviation (in years),,float,,1,"NA
","NA
",2,participants.tsv,,,,,agevar,41,,,
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Age mininum,,,,age_mininum,,,0,Age of participants: minimum (in years),,int,,1,"NA
","NA
",2,participants.tsv,,,subject_age_min,,agerange,47,,,
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Age maximum,,,,age_maximum,,,0,Age of participants: maximum (in years),,int,,1,"NA
","NA
",2,participants.tsv,,,subject_age_max,,agerange,47,,,
TRUE,FALSE,1,0,0,1,experimental_design,Experimental Design,Number of subjects (by group),Subjects scanned,,,,subjects_scanned,,,0,Number of subjects scanned,,int,,1,"NA
","NA
",1,,,,,,,,,Y,NECESSARY FOR ALE ALGORITHM
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Number of subjects (by group),Subjects scanned but rejected,,,,subjects_scanned_but_rejected,,,0,Number of subjects scanned but rejected from analysis,"i.e., participants with excessive head motion; unfinished runs due to time/anxiety; technical errors",int,,1,"NA
","NA
",1,,,,number_of_rejected_subjects,,,,,,
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects participated and analyzed,,,,subjects_participated_and_analyzed,,,0,,,int,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,1,1,0,experimental_design,Experimental Design,Number of subjects (by group),Subjects included in analysis,,,,subjects_included_in_analysis,,,0,Number of subjects included in analysis,"If they differ for different analyses, note the number of subjects in each particular analysis",int,,1,"NA
","NA
",,,,,number_of_subjects,,nsubj,99.6,,,
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Number of subjects (by group),Planned sample gender,,,,planned_sample_gender,,,0,,,,,1,"NA
","NA
",,,,,,,,,,,
TRUE,FALSE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Gender,,,,gender,,,0,Percentage of men in the study,,float,,1,"NA
","NA
",2,participants.tsv,,,proportion_male_subjects,,nfemale,86.7,,Y,NECESSARY TO DESCRIBE SAMPLE
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Race and ethnicity,,,,race_and_ethnicity,,,0,,Per guidelines of NIH or other relevant agency,char,Could provide choices for ethnicity for example: Caucasian | Latino/Hispanic | Middle Eastern | African | Caribbean | South Asian | East Asian | Mixed,1,"NA
","NA
",2,participants.tsv,,,,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Education,,,,education,,,0,Education level,Education is essential for studies comparing patient and control groups;,char,Measurement instrument,1,"NA
","NA
",2,participants.tsv,,,,,,,,Y,NECESSARY TO DESCRIBE SAMPLE. IMPORTANT IF RUNNING META-ANALYSIS where education is important. For instance on cognitive reserve
TRUE,TRUE,1,0,0,0,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),IQ,,,,iq,,,0,,Specify measurement instrument used,char,,1,"NA
","NA
",2,participants.tsv,,,,,,,,Y,"NECESSARY TO DESCRIBE SAMPLE. IMPORTANT IF RUNNING META-ANALYSIS ON PATHOLOGIES THAT MIGHT IMPACT ON INTELLIGENCE, OTHERWISE NOT NECESSARY"
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Handedness,,,,handedness,,,0,Percentage of right handed in the study,,float,,1,"NA
","NA
",2,participants.tsv,,,handedness,,handed,67,,,
TRUE,TRUE,1,1,0,0,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Handedness method,,,,handedness_method,,,0,Were there any screening criteria for handiness?,,radio,self report | EHI,handedness == 1,"NA
","NA
",2,participants.json,,,,,,,,,
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Exclusion criteria,,,,exclusion_criteria,,,0,"Describe any screening criteria, including those applied to “normal” sample such as MRI exclusion criteria","i.e., only right handed; only males/females; specific moment in hormonal cycle; specific etnicities ",boolean,,1,"NA
","NA
",,,,,,,criteria,79,,,
TRUE,TRUE,1,1,1,0,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Exclusion criteria description,,,,exclusion_criteria_description,,,0,Description of the screening criteria.,,char,,exclusion_criteria == 1,"NA
","NA
",,,,,,,rejectreason,28,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Clinical criteria,,,,clinical_criteria,,,0,Detail the area of recruitment as well as whether patients were currently in treatment,"Detail the area of recruitment (in­ vs. outpatient setting, community hospital vs. tertiary referral center etc.) as well as whether patients were currently in treatment",char,,1,"NA
","NA
",,,,,,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Clinical instruments,,,,clinical_instruments,,,0,Describe the instruments used to obtain the diagnosis and provide tests of intra­ or inter-­rater reliability.,"Describe the instruments used to obtain the diagnosis and provide tests of intra­ or inter-­rater reliability. Clarify whether a “clinical diagnosis” or “inventory diagnosis” was used (if applicable). State the diagnostic system (ICD, DSM etc.) that was used",char,,1,"NA
","NA
",2,participants.json,,,,,,,,Maybe,"Useful if meta-analysis is on cognitive variables, otherwise not"
TRUE,TRUE,1,1,1,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Matching strategy,,,,matching_strategy,,,0,Describe how the different groups were matched.,Describe how groups were matched,char,,1,"NA
","NA
",3,,,,,,grpequate,32,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Population and recruitment strategy,,,,population_and_recruitment_strategy,,,0,,"Population from which subjects were drawn, and how and where recruitment took place, e.g., schools, clinics, etc. If possible, note if subjects are research­ naive or have participated in other studies before",char,,1,"NA
","NA
",3,,,,,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Subject scanning order,,,,subject_scanning_order,,,0,,"With multiple groups, information on ordering and or balance over time; especially report relative to scanner changes/upgrades. (Ideally, use randomized or interleaved order to avoid bias due to scanner changes/upgrades)",char,,1,"NA
","NA
",2,sessions.tsv scans.tsv,,,,,,,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Inclusion criteria and descriptive statistics (by group),Neurocognitive measures,,,,neurocognitive_measures,,,0,,All measures collected on subjects should be described and reported,char,,1,"NA
","NA
",2,participants.*,,,,,,,,Maybe,Relevant only if the meta-analysis is on these features
TRUE,FALSE,1,1,1,1,experimental_design,Experimental Design,Ethical considerations,Ethical approval,,,,ethical_approval,,,0,Description of the institutional review board that granted the ethics approval,"Describe approval given, including the particular institutional review board, medical ethics committee or equivalent that granted the approval. When data is shared, describe the ethics/institutional approvals required from either the author (source) or recipient",char,,1,"NA
","NA
",3,,,,,,irbapprove,83.4,,,
TRUE,TRUE,1,0,0,1,experimental_design,Experimental Design,Ethical considerations,Informed consent,,,,informed_consent,,,0,,"Record whether subjects provided informed consent or, if applicable, informed assent",boolean,,1,"NA
","NA
",3,,,,,,,,,,
TRUE,FALSE,1,1,0,1,experimental_design,Experimental Design,Design specifications,Design type,rest or task,,,rest_or_task,,,0,Was it task based MRI or resting state MRI?,,boolean,,1,"NA
","NA
",1,,,,,,,,,Y,NECESSARY FOR STUDY SELECTION
